glrrm,optim,spinup
eri_flw_cms_qm48_na,erieOut,1
ont_nbs_cms_qm48_na,ontNBS,1
slon_flw_cms_qm48_na,stlouisontOut,1
stl_ics_xx_qm48_na,iceInd,
stl_tde_m_qm48_na,tidalInd,
na_fst_xx_qm48_na,foreInd,
dpmi_flw_cms_qm48_na,desprairiesOut,
stfr_flw_cms_qm48_na,stfrancoisOut,
stmc_flw_cms_qm48_na,stmauriceOut,
rich_flw_cms_qm48_na,richelieuOut,
lstd_rgh_xx_qm48_na,longsaultR,
sahw_rgh_xx_qm48_na,saundershwR,
ptcl_rgh_xx_qm48_na,ptclaireR,
ogde_rgh_xx_qm48_na,ogdensburgR,
card_rgh_xx_qm48_na,cardinalR,
irhw_rgh_xx_qm48_na,iroquoishwR,
irtw_rgh_xx_qm48_na,iroquoistwR,
morr_rgh_xx_qm48_na,morrisburgR,
intw_rgh_xx_qm48_na,saunderstwR,
corn_rgh_xx_qm48_na,cornwallR,
summ_rgh_xx_qm48_na,summerstownR,
jty1_rgh_xx_qm48_na,jetty1R,
vare_rgh_xx_qm48_na,varennesR,
sorl_rgh_xx_qm48_na,sorelR,
lspr_rgh_xx_qm48_na,stpierreR,
triv_rgh_xx_qm48_na,threeriversR,
bati_rgh_xx_qm48_na,batiscanR,
ont_mlv_m_qm48_na,ontLevelMOQ,1
