Sim	Year	Month	QM	erieOut	ontNBS	stlouisontOut	ontNTS	iceInd	tidalInd	foreInd	desprairiesOut	stfrancoisOut	stmauriceOut	richelieuOut	longsaultR	saundershwR	ptclaireR	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	saunderstwR	cornwallR	summerstownR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	slonFlow_QM1	slonFlow_QM2	slonFlow_QM3	slonFlow_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4	forNTS	indicator	confidence	ontLevelMOQ	ontFlow	kingstonLevel
1	1960	1	1	5850	690	1265	6540																																												74.41		
2	1960	1	2	5760	1930	1626	7690																																												74.44		
3	1960	1	3	5350	780	1542	6130																																												74.48		
4	1960	1	4	5410	790	1494	6200																																												74.49		
5	1960	2	5	5400	1270	1486	6670																																												74.5		
6	1960	2	6	5300	2210	1536	7510																																	1268.900826	1098.407091	1005.006806	1168.204171								74.54		
7	1960	2	7	5330	1990	1696	7320																																	1330.302594	1168.036461	1288.464086	1232.613642								74.6		
8	1960	2	8	5410	1580	1540	6990																																	1485.534948	1511.675265	1397.266862	1558.935393								74.64		
9	1960	3	9	5490	790	1458	6280																																	1558.961823	1430.510763	1583.457979	1965.007276								74.64		
10	1960	3	10	5610	390	1389	6000																																	1342.855708	1521.833785	1919.549778	2436.035934								74.62		
11	1960	3	11	5690	740	1310	6430																																	1561.896259	1947.714926	2456.812144	2577.554717								74.6		
12	1960	3	12	5650	1840	1240	7490																																	1729.018594	2303.061912	2464.139829	2620.632251								74.61		
13	1960	4	13	5480	5670	3160	11150																																	1878.495969	2165.656943	2400.454353	2423.487046								74.72		
14	1960	4	14	5670	3350	3980	9020																																	3278.258743	3182.647557	3000.477098	2855.687626								74.84		
15	1960	4	15	5860	4790	4479	10650																																	3791.899317	3428.799779	3171.642718	2921.245273								74.93		
16	1960	4	16	5690	3620	4267	9310																																	4025.340593	3591.029214	3230.608529	2905.081668								75.02		
17	1960	5	17	5920	2360	3626	8280																																	3800.837912	3378.110481	3013.88747	2659.57078								75.06		
18	1960	5	18	6000	2960	3575	8960																																	3226.316206	2907.171437	2580.850984	2283.735003								75.1		
19	1960	5	19	6210	2350	4510	8560																																	3209.898706	2793.677543	2440.727939	2103.356032								75.14		
20	1960	5	20	6300	2140	3381	8440																																	3922.425486	3234.272378	2688.719398	2267.801054								75.17		
21	1960	6	21	6330	1680	1967	8010																																	2764.20677	2358.248853	2024.027244	1821.851546								75.18		
22	1960	6	22	6490	1510	1169	8000																													6203.175986	6116.83172	6107.936387	6112.870435	1666.113934	1537.435159	1462.913638	1351.881783								75.18		
23	1960	6	23	6630	1180	1065	7810																													6173.951029	6353.862366	6207.312276	6236.424137	1105.840841	1159.489589	1128.059002	1007.942195								75.15		
24	1960	6	24	6470	1270	1325	7740																													6353.862366	6466.712931	6333.881802	6324.871574	1124.031571	1103.130928	989.5538341	864.7543256								75.12		
25	1960	7	25	6360	310	1919	6670																													6466.712931	6399.940888	6349.690187	6336.963461	1277.611718	1112.219183	955.2392416	837.8028121								75.08		
26	1960	7	26	6140	340	1886	6480																													6399.940888	6288.991872	6314.158908	6262.670768	1669.07249	1346.724203	1126.584314	981.2014008								75.04		
27	1960	7	27	6130	430	1501	6560																									445.0396418	416.9870035	510.9621434	476.4492619	6288.991872	6166.304531	6207.121401	6183.712583	1535.060667	1258.990627	1078.871804	966.6969427	6734.031513	6583.291534	6718.083544	6660.161844				75		
28	1960	7	28	6140	540	1258	6680																									409.8491894	505.3291184	472.4209402	342.5952394	6166.304531	6116.686824	6149.73602	6135.762231	1229.419156	1058.082153	951.3613172	897.260883	6576.15372	6622.015942	6622.15696	6478.35747				74.94		
