Century	Sim	Year	Month	MonQtr	QM	ontNTS	ontNBS	erieOut	preprojectIceRetardation	beauharnoisMaxFlow	lacstfrancoisFlow	carillonFlow	richelieuFlow	chateauguayFlow	stfrancoisFlow	stmauriceFlow	forInd	iceInd	tidalInd	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	lsdamR	saundershwR	saunderstwR	cornwallR	summerstownR	ptclaireR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4	forNTS	indicator	confidence	ontLevel	ontFlow
1	1	1	1	1	1	5110	50	5060	110	4219	125	1958	171	64	142	677	1	2	-0.0268	1.325	1.353	1.561	1.553	1.793	1.819	1.841	1.134	1.541	1.551	1.138	1.155	1.162	1.148	1.091	1.053	1.019														-1		74.51	623
1	2	1	1	2	2	5730	380	5350	110	4709	131	1593	326	55	269	668	1	1	0.0326	1.507	1.298	1.441	1.42	1.566	1.57	1.583	1.104	2.102	1.727	1.247	1.141	1.128	1.122	1.082	1.06	1.044														-1		74.5	616
1	3	1	1	3	3	7210	1690	5520	250	6209	98	1627	381	49	226	676	1	1	-0.03	1.195	1.493	1.899	1.89	2.015	1.981	1.979	1.113	2.333	1.862	1.248	1.11	1.1	1.095	1.022	0.965	0.882														-1		74.53	614
1	4	1	1	4	4	5650	290	5360	350	7029	115	1664	448	48	270	723	1	1	0.0366	1.292	1.392	2.097	2.092	2.243	2.195	2.202	1.128	2.298	1.754	1.213	1.165	1.154	1.169	1.1	1.054	1.032														-1		74.51	627
1	5	1	2	1	5	6870	1360	5510	310	7200	87	1875	397	25	167	700	1	1	-0.0432	1.452	1.504	2.211	2.188	2.385	2.331	2.334	1.141	2.106	1.835	1.148	1.115	1.12	1.145	1.081	1.038	1.031														-1		74.54	618
1	6	1	2	2	6	7130	1860	5270	300	7200	45	1928	357	35	203	665	1	1	0.0391	1.437	1.483	2.065	2.035	2.225	2.18	2.18	1.144	1.94	1.861	1.16	1.129	1.141	1.167	1.09	1.022	1.035														-1		74.57	627
1	7	1	2	3	7	7400	2160	5240	280	7200	56	2247	367	64	275	647	1	1	-0.0339	1.374	1.469	1.956	1.929	2.132	2.096	2.097	1.155	1.862	1.879	1.067	1.099	1.094	1.117	1.064	1.023	0.984														-1		74.6	636
1	8	1	2	4	8	7330	2000	5330	440	7200	53	3034	534	96	512	751	1	1	0.0279	1.407	1.483	2.003	1.974	2.197	2.148	2.145	1.157	1.689	1.85	1.081	1.084	1.096	1.083	1.033	1.002	1.013														-1		74.63	644
1	9	1	3	1	9	6960	1660	5300	190	7200	53	3610	729	171	455	732	1	1	-0.026	1.536	1.562	2.023	1.994	2.201	2.158	2.157	1.15	1.668	1.924	1.048	1.129	1.149	1.112	1.093	1.092	1.108														-1		74.65	648
1	10	1	3	2	10	5880	470	5410	190	7200	64	2945	787	78	476	731	1	1	0.0317	1.552	1.633	1.997	1.97	2.151	2.107	2.109	1.133	1.658	1.935	1.061	1.099	1.095	1.036	1.029	1.031	1.042														-1		74.63	650
1	11	1	3	3	11	7220	1620	5600	130	7200	78	2566	676	22	170	662	1	1	-0.0292	1.712	1.757	2.036	2.018	2.18	2.14	2.141	1.148	1.612	1.845	1.072	1.067	1.047	0.986	0.981	0.972	0.961														-1		74.65	641
1	12	1	3	4	12	8000	2260	5740	0	7200	651	2783	619	99	237	678	1	1	0.0361	1.415	1.422	1.692	1.653	1.828	1.823	1.825	1.173	1.762	2.249	1.062	1.047	1.033	1.009	1.027	1.03	1.074														-1		74.7	648
1	13	1	4	1	13	9350	3670	5680	0	7200	904	4955	772	220	376	773	1	1	-0.0405	1.031	0.987	1	0.993	1.004	1.004	0.998	1.08	1.524	2.218	1.04	1.022	1.019	1	1.011	1.001	1.005														-1		74.8	662
1	14	1	4	2	14	7910	2100	5810	0	7714	440	5354	760	91	248	830	1	1	0.0472	1.087	1.047	1.058	1.047	1.061	1.066	1.062	0.999	1.131	1.405	1.013	0.969	0.962	0.944	1.029	0.937	0.932														-1		74.83	686
1	15	1	4	3	15	8100	2500	5600	0	8100	419	4493	822	46	469	1442	1	0	-0.0415	1.145	1.064	1.069	1.057	1.071	1.076	1.073	0.995	0.936	0.921	1.012	1	1.011	1.019	1.02	0.991	0.989														-1		74.87	688
1	16	1	4	4	16	6920	1330	5590	0	8100	444	4116	852	22	649	1961	1	0	0.048	1.067	1.052	1.048	1.038	1.047	1.051	1.048	0.99	1.013	1.06	1.012	1.025	1.046	1.063	1.015	1.022	1.046														-1		74.87	694
1	17	1	5	1	17	8950	2920	6030	0	8100	333	4294	836	31	303	2108	1	0	-0.0421	1.091	1.051	1.028	1.019	1.022	1.024	1.022	0.969	0.97	1.015	1.009	1.024	1.042	1.047	1.001	1.008	0.99														-1		74.94	687
1	18	1	5	2	18	9020	2840	6180	0	8100	412	5085	776	86	327	1006	1	0	0.0485	1.447	1.205	1.183	1.165	1.177	1.192	1.195	0.999	0.927	0.902	1.009	0.995	0.999	1.005	0.996	0.972	0.965														-1		75.01	707
1	19	1	5	3	19	8370	2170	6200	0	8100	338	3957	800	67	311	858	1	0	-0.0422	1.079	1.037	1.025	1.016	1.022	1.024	1.021	0.971	0.972	1.031	1.009	1.021	1.035	1.047	1.047	1.018	1.023														-1		75.05	722
1	20	1	5	4	20	8680	2450	6230	0	8100	224	3572	758	60	265	696	1	0	0.0406	1.175	1.082	1.088	1.075	1.09	1.097	1.095	0.973	0.978	1.045	1.007	1.002	1.017	1.031	1.04	1.028	1.054														-1		75.09	726
1	21	1	6	1	21	8230	1980	6250	0	8100	179	3006	619	47	259	558	1	0	-0.0361	1.125	1.039	1.042	1.032	1.043	1.046	1.043	0.972	0.941	0.944	1.005	0.99	1.009	1	0.988	0.989	0.993														-1		75.12	736
1	22	1	6	2	22	7510	1470	6040	0	8100	178	2225	584	44	163	645	1	0	0.0402	1.106	1.074	1.067	1.056	1.066	1.071	1.069	0.978	0.971	1.016	1.003	0.981	1.004	0.995	0.985	0.98	0.975					6094.354526	6016.474073	6044.119571	6068.444865						-1		75.13	738
1	23	1	6	3	23	7040	1130	5910	0	8100	227	1738	579	29	110	664	1	0	-0.0338	1.007	0.996	0.997	0.99	0.998	0.997	0.992	0.983	0.966	0.99	1.006	0.998	1.026	1.017	1.003	1.016	1.031					6040	6065.129569	6059.442366	6065.77139						-1		75.12	734
1	24	1	6	4	24	7710	1500	6210	0	8100	162	1712	563	42	65	549	1	0	0.0373	1.128	1.057	1.045	1.035	1.042	1.046	1.043	0.986	1.019	1.089	1.008	1.028	1.061	1.063	1.053	1.066	1.091					5910	6059.442366	5977.533691	6011.934426						-1		75.13	729
1	25	1	7	1	25	6600	360	6240	0	8100	138	1987	555	119	188	671	1	0	-0.0311	1.121	1.075	1.079	1.067	1.081	1.087	1.084	0.987	1.02	1.128	1.001	1.033	1.039	1.052	1.035	1.051	1.035					6210	5977.533691	6097.571608	5997.586185						-1		75.11	734
1	26	1	7	2	26	7110	840	6270	0	8100	150	2028	511	29	179	600	1	0	0.0341	1.06	1.062	1.057	1.046	1.056	1.06	1.058	0.994	1.011	1.096	1.009	1.004	0.997	0.999	0.978	1.005	0.998					6240	6097.571608	6146.877022	6086.531551						-1		75.1	724
1	27	1	7	3	27	6910	690	6220	0	8100	137	1943	480	33	376	655	1	0	-0.0281	1.075	1.061	1.049	1.039	1.046	1.05	1.048	0.982	1.051	1.208	1.013	1.023	1.023	1.031	1.018	1.051	1.058	757.849821	799.2837933	744.67492	663.5595881	6270	6146.877022	6184.608821	6095.111024	7027.849821	6946.160815	6929.283741	6758.670612		-1		75.09	724
1	28	1	7	4	28	6790	590	6200	0	8100	122	1681	512	85	275	418	1	0	0.0189	1.007	1.03	1.023	1.014	1.021	1.023	1.02	0.989	1.065	1.223	1.017	1.024	1.021	1.024	1.009	1.038	1.021	767.0822682	719.262098	645.386223	511.9445249	6220	6184.608821	6136.703374	6117.37876	6987.082268	6903.870919	6782.089597	6629.323285		-1		75.08	722
1	29	1	8	1	29	5540	-610	6150	0	8100	132	1593	389	28	137	386	1	0	-0.0085	1.014	1.038	1.03	1.021	1.028	1.031	1.027	0.999	1.119	1.401	1.02	1.029	1.011	0.999	0.967	0.994	0.967	635.2188534	579.0609165	464.513586	449.902486	6200	6136.703374	6126.133263	6101.798506	6835.218853	6715.764291	6590.646849	6551.700992		-1		75.02	718
