Century	Sim	Year	Month	MonQtr	QM	ontNTS	ontNBS	erieOut	preprojectIceRetardation	beauharnoisMaxFlow	lacstfrancoisFlow	carillonFlow	richelieuFlow	chateauguayFlow	stfrancoisFlow	stmauriceFlow	forInd	iceInd	tidalInd	ogdensburgR	cardinalR	iroquoishwR	iroquoistwR	morrisburgR	lsdamR	saundershwR	saunderstwR	cornwallR	summerstownR	ptclaireR	jetty1R	varennesR	sorelR	stpierreR	threeriversR	batiscanR	ontNBS_QM1	ontNBS_QM2	ontNBS_QM3	ontNBS_QM4	erieOut_QM1	erieOut_QM2	erieOut_QM3	erieOut_QM4	ontNTS_QM1	ontNTS_QM2	ontNTS_QM3	ontNTS_QM4	forNTS	indicator	confidence	ontLevel	ontFlow	airTemp	freezingDiff
358	1713601	35701	1	1	1	5420	1160	4260	70	6314	174	1675	230	37	138	681	1	1	0.0182	1.504	1.548	1.506	1.515	1.611	1.849	1.866	1.133	1.76	1.878	1.118	1.119	1.129	1.133	1.104	1.044	1.005														-1.0		74.35	579.0	20.0448197672	-11.9551802328
358	1713602	35701	1	2	2	4420	390	4030	310	6097	146	1706	278	12	115	627	1	1	-0.0231	1.428	1.491	1.582	1.608	2.075	2.212	2.22	1.149	1.666	1.772	1.185	1.142	1.146	1.166	1.103	1.017	0.958														-1.0		74.31	587.0	20.0448197672	-11.9551802328
358	1713603	35701	1	3	3	4950	700	4250	330	6179	120	1704	288	32	171	647	1	1	0.0219	1.399	1.406	1.674	1.7	2.171	2.297	2.289	1.158	1.824	1.668	1.122	1.096	1.102	1.123	1.076	1.006	0.994														-1.0		74.28	580.0	20.0448197672	-11.9551802328
358	1713604	35701	1	4	4	4730	400	4330	150	6304	91	1750	278	24	112	643	1	1	-0.0305	1.4	1.381	1.612	1.64	2.002	2.12	2.11	1.139	1.815	1.751	1.14	1.119	1.13	1.117	1.065	1.027	0.998														-1.0		74.24	580.0	20.0448197672	-11.9551802328
358	1713605	35701	2	1	5	4690	290	4400	180	6531	116	1806	270	11	97	584	1	1	0.0367	1.37	1.359	1.531	1.546	1.812	1.911	1.904	1.129	1.732	1.76	1.085	1.101	1.118	1.115	1.1	1.075	1.049														-1.0		74.2	582.0	13.4243115450286	-18.5756884549714
358	1713606	35701	2	2	6	5470	1080	4390	120	6617	145	1855	262	18	122	566	1	1	-0.0311	1.329	1.306	1.465	1.471	1.664	1.745	1.741	1.125	1.711	1.788	1.106	1.085	1.091	1.07	1.052	1.018	0.943														-1.0		74.19	576.0	13.4243115450286	-18.5756884549714
358	1713607	35701	2	3	7	4760	210	4550	0	7116	176	1871	290	39	140	583	1	1	0.0246	1.117	1.1	1.182	1.219	1.333	1.422	1.428	1.122	1.7	2.035	1.02	1.056	1.063	1.08	1.084	1.075	0.847														-1.0		74.16	568.0	13.4243115450286	-18.5756884549714
358	1713608	35701	2	4	8	5110	920	4190	30	7452	174	1979	396	107	300	709	1	1	-0.0232	1.087	1.035	1.049	1.043	1.042	1.082	1.083	1.076	1.455	1.805	1.029	1.06	1.058	1.062	1.051	1.041	0.974														-1.0		74.16	509.0	13.4243115450286	-18.5756884549714
358	1713609	35701	3	1	9	6230	1850	4380	150	7176	166	2071	383	41	162	689	1	1	0.0316	1.206	1.182	1.231	1.269	1.235	1.426	1.438	1.086	1.62	1.693	1.066	1.06	1.036	1.041	1.017	0.991	0.92														-1.0		74.19	529.0	17.2611133067097	-14.7388866932903
358	1713610	35701	3	2	10	5900	1450	4450	220	7114	124	1802	399	4	87	654	1	1	-0.0379	1.197	1.199	1.282	1.289	1.335	1.461	1.473	1.106	1.703	1.825	1.066	1.077	1.049	1.06	1.032	0.994	0.951														-1.0		74.2	585.0	17.2611133067097	-14.7388866932903
358	1713611	35701	3	3	11	7480	2910	4570	20	7208	251	1787	406	30	161	633	1	1	0.0342	1.276	1.276	1.352	1.364	1.45	1.556	1.568	1.091	1.602	1.674	1.018	1.119	1.132	1.176	1.194	1.157	1.069														-1.0		74.25	576.0	17.2611133067097	-14.7388866932903
358	1713612	35701	3	4	12	7130	2600	4530	30	7321	328	1397	363	62	124	550	1	1	-0.0394	1.183	1.105	1.098	1.105	1.111	1.147	1.151	1.055	1.388	1.581	1.016	1.05	1.053	1.066	1.065	1.068	1.01														-1.0		74.3	585.0	17.2611133067097	-14.7388866932903
358	1713613	35701	4	1	13	7790	2810	4980	0	7725	495	1421	519	127	134	452	1	0	0.042	1.032	0.997	1.009	1.011	1.013	1.009	1.007	1.005	0.993	1.003	1.011	0.99	0.992	0.984	0.978	0.995	0.911														-1.0		74.37	559.0	41.7517159784	9.7517159784
358	1713614	35701	4	2	14	6920	2140	4780	0	8100	338	2424	651	258	386	435	1	0	-0.0484	1.138	1.053	1.053	1.055	1.05	1.048	1.043	0.994	0.89	0.745	1.007	1.04	1.052	1.07	1.029	1.089	1.024														-1.0		74.44	489.0	41.7517159784	9.7517159784
358	1713615	35701	4	3	15	7220	2340	4880	0	8100	548	3671	801	198	886	447	1	0	0.0422	1.125	1.077	1.067	1.076	1.073	1.075	1.066	0.998	0.916	0.81	1.003	1.03	1.037	1.058	1.02	1.051	1.022														-1.0		74.54	419.0	41.7517159784	9.7517159784
358	1713616	35701	4	4	16	6140	1300	4840	0	8100	342	4246	907	90	919	1473	1	0	-0.0484	1.068	1.034	1.035	1.037	1.034	1.035	1.024	0.996	0.965	0.812	1.005	1.008	1.007	1.01	1.015	1.001	1.019														-1.0		74.61	412.0	41.7517159784	9.7517159784
358	1713617	35701	5	1	17	6430	1440	4990	0	8100	214	5162	1012	118	1076	1746	1	0	0.042	0.973	0.967	0.971	0.971	0.968	0.967	0.959	0.991	0.934	0.81	1.004	0.998	1.003	1.015	1.015	1.004	1.005														-1.0		74.71	348.0	52.6244953788645	20.6244953788645
358	1713618	35701	5	2	18	6050	930	5120	0	8100	223	4680	1045	69	602	2310	1	0	-0.0479	0.916	0.936	0.946	0.947	0.948	0.945	0.927	0.987	0.938	0.803	0.998	0.991	1.001	1.016	1.032	1.036	1.005														-1.0		74.77	418.0	52.6244953788645	20.6244953788645
358	1713619	35701	5	3	19	6780	1720	5060	0	8100	242	4104	988	61	497	2800	1	0	0.0413	0.988	0.989	0.995	0.993	0.99	0.989	0.979	0.991	0.939	0.83	1.006	0.99	1.008	1.015	1.027	1.012	1.004														-1.0		74.84	488.0	52.6244953788645	20.6244953788645
