Loc,Bv7
alexbayCoastal,3261.735537
cardinalCoastal,2207.380165
ontarioCoastal,50937.0256
lacstpierreCoastal,632.5041322
lerybeauharnoisCoastal,161.9586777
maskinongeCoastal,293.1404959
ptclaireCoastal,427.553719
sorelCoastal,2066.479339
troisrivieresCoastal,15.04958678
montrealCommercialNavigation,56294251.88
ontarioCommercialNavigation,29899934.24
seawayCommercialNavigation,109220690.9
nypaMosesSaundersEnergyValue,362236917.2
nypaNiagaraEnergyValue,758612362.1
opgMosesSaundersEnergyValue,366866408
opgNiagaraEnergyValue,738753543
peakingMosesSaundersValue,12790888.06
ontarioMeadowMarsh,9844.278639
alexbayMuskratViability,0.415443802
alexbayRecBoating,4163653.726
brockvilleRecBoating,41826.43579
longsaultRecBoating,31069.92603
ogdensburgRecBoating,13778.09876
ontarioRecBoating,6550827.849
ptclaireRecBoating,3127875.223
sorelRecBoating,1201054.217
varennesRecBoating,3827920.82
