gageDepth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
-3,927756,734642,1230430,1050600,754889,779460,835050,1116874,921085,520634,1240549,1697686,2602840,2119189,3617828,2331825,2335306,1573495,2961380,2267578,2217945,1614883,3086871,2105143,2338524,1542090,2944251,2365628,2222658,1488277,2978158,2534125,2524753,1679484,2964329,2187699,2661734,1873101,3370882,2783991,2724490,1850765,3676762,2428389,3347269,1879357,3658771,1649497
-2.99,925100.9,732547.8,1226940.3,1047420.2,752553.9,777043.5,832564.3,1113606.2,918371.3,519036.7,1236939.7,1692312.8,2593995.1,2112349.8,3606230.6,2324307.4,2327704.5,1568738.1,2951755.4,2260366.9,2210770.1,1610017.5,3076647.5,2098297.1,2331064.4,1537401.2,2934442.8,2358072.2,2215828.5,1483898.5,2968476.4,2525930.9,2516295,1674132.6,2954297.4,2180659.8,2653186,1867087.2,3359803.6,2774744.3,2715771.9,1845005.4,3664985.8,2420813.6,3336173.1,1873829.4,3647676,1645033.4
-2.98,922445.8,730453.6,1223450.6,1044240.4,750218.8,774627,830078.6,1110338.4,915657.6,517439.4,1233330.4,1686939.6,2585150.2,2105510.6,3594633.2,2316789.8,2320103,1563981.2,2942130.8,2253155.8,2203595.2,1605152,3066424,2091451.2,2323604.8,1532712.4,2924634.6,2350516.4,2208999,1479520,2958794.8,2517736.8,2507837,1668781.2,2944265.8,2173620.6,2644638,1861073.4,3348725.2,2765497.6,2707053.8,1839245.8,3653209.6,2413238.2,3325077.2,1868301.8,3636581,1640569.8
-2.97,919790.7,728359.4,1219960.9,1041060.6,747883.7,772210.5,827592.9,1107070.6,912943.9,515842.1,1229721.1,1681566.4,2576305.3,2098671.4,3583035.8,2309272.2,2312501.5,1559224.3,2932506.2,2245944.7,2196420.3,1600286.5,3056200.5,2084605.3,2316145.2,1528023.6,2914826.4,2342960.6,2202169.5,1475141.5,2949113.2,2509542.7,2499379,1663429.8,2934234.2,2166581.4,2636090,1855059.6,3337646.8,2756250.9,2698335.7,1833486.2,3641433.4,2405662.8,3313981.3,1862774.2,3625486,1636106.2
-2.96,917135.6,726265.2,1216471.2,1037880.8,745548.6,769794,825107.2,1103802.8,910230.2,514244.8,1226111.8,1676193.2,2567460.4,2091832.2,3571438.4,2301754.6,2304900,1554467.4,2922881.6,2238733.6,2189245.4,1595421,3045977,2077759.4,2308685.6,1523334.8,2905018.2,2335404.8,2195340,1470763,2939431.6,2501348.6,2490921,1658078.4,2924202.6,2159542.2,2627542,1849045.8,3326568.4,2747004.2,2689617.6,1827726.6,3629657.2,2398087.4,3302885.4,1857246.6,3614391,1631642.6
-2.95,914480.5,724171,1212981.5,1034701,743213.5,767377.5,822621.5,1100535,907516.5,512647.5,1222502.5,1670820,2558615.5,2084993,3559841,2294237,2297298.5,1549710.5,2913257,2231522.5,2182070.5,1590555.5,3035753.5,2070913.5,2301226,1518646,2895210,2327849,2188510.5,1466384.5,2929750,2493154.5,2482463,1652727,2914171,2152503,2618994,1843032,3315490,2737757.5,2680899.5,1821967,3617881,2390512,3291789.5,1851719,3603296,1627179
-2.94,911825.4,722076.8,1209491.8,1031521.2,740878.4,764961,820135.8,1097267.2,904802.8,511050.2,1218893.2,1665446.8,2549770.6,2078153.8,3548243.6,2286719.4,2289697,1544953.6,2903632.4,2224311.4,2174895.6,1585690,3025530,2064067.6,2293766.4,1513957.2,2885401.8,2320293.2,2181681,1462006,2920068.4,2484960.4,2474005,1647375.6,2904139.4,2145463.8,2610446,1837018.2,3304411.6,2728510.8,2672181.4,1816207.4,3606104.8,2382936.6,3280693.6,1846191.4,3592201,1622715.4
-2.93,909170.3,719982.6,1206002.1,1028341.4,738543.3,762544.5,817650.1,1093999.4,902089.1,509452.9,1215283.9,1660073.6,2540925.7,2071314.6,3536646.2,2279201.8,2282095.5,1540196.7,2894007.8,2217100.3,2167720.7,1580824.5,3015306.5,2057221.7,2286306.8,1509268.4,2875593.6,2312737.4,2174851.5,1457627.5,2910386.8,2476766.3,2465547,1642024.2,2894107.8,2138424.6,2601898,1831004.4,3293333.2,2719264.1,2663463.3,1810447.8,3594328.6,2375361.2,3269597.7,1840663.8,3581106,1618251.8
-2.92,906515.2,717888.4,1202512.4,1025161.6,736208.2,760128,815164.4,1090731.6,899375.4,507855.6,1211674.6,1654700.4,2532080.8,2064475.4,3525048.8,2271684.2,2274494,1535439.8,2884383.2,2209889.2,2160545.8,1575959,3005083,2050375.8,2278847.2,1504579.6,2865785.4,2305181.6,2168022,1453249,2900705.2,2468572.2,2457089,1636672.8,2884076.2,2131385.4,2593350,1824990.6,3282254.8,2710017.4,2654745.2,1804688.2,3582552.4,2367785.8,3258501.8,1835136.2,3570011,1613788.2
-2.91,903860.1,715794.2,1199022.7,1021981.8,733873.1,757711.5,812678.7,1087463.8,896661.7,506258.3,1208065.3,1649327.2,2523235.9,2057636.2,3513451.4,2264166.6,2266892.5,1530682.9,2874758.6,2202678.1,2153370.9,1571093.5,2994859.5,2043529.9,2271387.6,1499890.8,2855977.2,2297625.8,2161192.5,1448870.5,2891023.6,2460378.1,2448631,1631321.4,2874044.6,2124346.2,2584802,1818976.8,3271176.4,2700770.7,2646027.1,1798928.6,3570776.2,2360210.4,3247405.9,1829608.6,3558916,1609324.6
