waterLevel,buildingsImpacted
74,2
74.01,4
74.02,7
74.03,10
74.04,13
74.05,16
74.06,19
74.07,22
74.08,25
74.09,28
74.1,31
74.11,34
74.12,37
74.13,40
74.14,43
74.15,46
74.16,49
74.17,52
74.18,55
74.19,58
74.2,61
74.21,64
74.22,67
74.23,70
74.24,73
74.25,76
74.26,79
74.27,82
74.28,85
74.29,88
74.3,91
74.31,94
74.32,97
74.33,100
74.34,103
74.35,106
74.36,109
74.37,112
74.38,115
74.39,118
74.4,121
74.41,124
74.42,128
74.43,132
74.44,137
74.45,142
74.46,147
74.47,152
74.48,157
74.49,162
74.5,167
74.51,172
74.52,177
74.53,182
74.54,187
74.55,192
74.56,197
74.57,202
74.58,207
74.59,212
74.6,217
74.61,223
74.62,229
74.63,235
74.64,241
74.65,247
74.66,253
74.67,259
74.68,265
74.69,271
74.7,277
74.71,283
74.72,289
74.73,295
74.74,301
74.75,307
74.76,313
74.77,319
74.78,325
74.79,331
74.8,337
74.81,343
74.82,349
74.83,355
74.84,361
74.85,367
74.86,373
74.87,379
74.88,386
74.89,393
74.9,400
74.91,408
74.92,416
74.93,424
74.94,432
74.95,440
74.96,448
74.97,456
74.98,464
74.99,472
75,480
75.01,488
75.02,496
75.03,504
75.04,512
75.05,520
75.06,528
75.07,536
75.08,544
75.09,552
75.1,560
75.11,568
75.12,576
75.13,584
75.14,592
75.15,601
75.16,611
75.17,621
75.18,631
75.19,641
75.2,651
75.21,661
75.22,671
75.23,681
75.24,691
75.25,701
75.26,711
75.27,722
75.28,733
75.29,744
75.3,756
75.31,768
75.32,781
75.33,795
75.34,809
75.35,823
75.36,837
75.37,852
75.38,868
75.39,885
75.4,903
75.41,922
75.42,942
75.43,963
75.44,984
75.45,1005
75.46,1026
75.47,1047
75.48,1069
75.49,1091
75.5,1114
75.51,1139
75.52,1165
75.53,1191
75.54,1217
75.55,1245
75.56,1274
75.57,1307
75.58,1341
75.59,1375
75.6,1409
75.61,1443
75.62,1480
75.63,1517
75.64,1555
75.65,1595
75.66,1637
75.67,1681
75.68,1726
75.69,1773
75.7,1820
75.71,1867
75.72,1915
75.73,1963
75.74,2011
75.75,2059
75.76,2107
75.77,2156
75.78,2208
75.79,2260
75.8,2315
75.81,2371
75.82,2427
75.83,2486
75.84,2546
75.85,2606
75.86,2667
75.87,2730
75.88,2793
75.89,2856
75.9,2919
75.91,2982
75.92,3047
75.93,3114
75.94,3183
75.95,3254
75.96,3325
75.97,3396
75.98,3469
75.99,3542
76,3616
76.01,3690
76.02,3764
76.03,3838
76.04,3912
76.05,3987
76.06,4062
76.07,4138
76.08,4215
76.09,4292
76.1,4370
76.11,4449
76.12,4528
76.13,4608
76.14,4690
76.15,4772
76.16,4855
76.17,4940
76.18,5027
76.19,5115
76.2,5203
