waterLevel,buildingsImpacted
74,5
74.01,10
74.02,15
74.03,20
74.04,25
74.05,30
74.06,35
74.07,40
74.08,45
74.09,50
74.1,55
74.11,60
74.12,65
74.13,70
74.14,75
74.15,80
74.16,86
74.17,92
74.18,98
74.19,104
74.2,110
74.21,116
74.22,122
74.23,128
74.24,134
74.25,144
74.26,154
74.27,164
74.28,174
74.29,184
74.3,194
74.31,204
74.32,214
74.33,224
74.34,234
74.35,244
74.36,254
74.37,264
74.38,274
74.39,284
74.4,294
74.41,304
74.42,314
74.43,324
74.44,334
74.45,344
74.46,354
74.47,365
74.48,376
74.49,387
74.5,398
74.51,409
74.52,420
74.53,431
74.54,442
74.55,453
74.56,464
74.57,477
74.58,490
74.59,505
74.6,520
74.61,535
74.62,550
74.63,565
74.64,580
74.65,595
74.66,610
74.67,625
74.68,640
74.69,655
74.7,670
74.71,685
74.72,700
74.73,715
74.74,730
74.75,745
74.76,760
74.77,775
74.78,790
74.79,805
74.8,820
74.81,835
74.82,851
74.83,867
74.84,883
74.85,899
74.86,915
74.87,931
74.88,947
74.89,963
74.9,979
74.91,996
74.92,1013
74.93,1030
74.94,1047
74.95,1064
74.96,1081
74.97,1100
74.98,1120
74.99,1141
75,1162
75.01,1184
75.02,1206
75.03,1228
75.04,1250
75.05,1272
75.06,1295
75.07,1318
75.08,1342
75.09,1366
75.1,1390
75.11,1414
75.12,1438
75.13,1462
75.14,1486
75.15,1510
75.16,1534
75.17,1559
75.18,1584
75.19,1609
75.2,1634
75.21,1659
75.22,1684
75.23,1709
75.24,1735
75.25,1761
75.26,1787
75.27,1813
75.28,1839
75.29,1865
75.3,1891
75.31,1917
75.32,1944
75.33,1972
75.34,2002
75.35,2033
75.36,2066
75.37,2099
75.38,2132
75.39,2166
75.4,2200
75.41,2235
75.42,2271
75.43,2307
75.44,2344
75.45,2382
75.46,2420
75.47,2459
75.48,2499
75.49,2540
75.5,2582
75.51,2626
75.52,2670
75.53,2716
75.54,2762
75.55,2808
75.56,2856
75.57,2906
75.58,2959
75.59,3012
75.6,3067
75.61,3126
75.62,3188
75.63,3250
75.64,3314
75.65,3381
75.66,3450
75.67,3521
75.68,3593
75.69,3668
75.7,3747
75.71,3831
75.72,3923
75.73,4025
75.74,4141
75.75,4268
75.76,4402
75.77,4543
75.78,4697
75.79,4866
75.8,5041
75.81,5228
75.82,5427
75.83,5639
75.84,5862
75.85,6103
75.86,6362
75.87,6636
75.88,6925
75.89,7228
75.9,7556
75.91,7905
75.92,8270
75.93,8657
75.94,9065
75.95,9496
75.96,9947
75.97,10424
75.98,10936
75.99,11464
76,12012
76.01,12573
76.02,13155
76.03,13759
76.04,14391
76.05,15043
76.06,15727
76.07,16435
76.08,17167
76.09,17917
76.1,18693
76.11,19494
76.12,20315
76.13,21159
76.14,22019
76.15,22901
76.16,23808
76.17,24734
76.18,25677
76.19,26647
76.2,27643
