gageDepth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
-3,0,0,0,0,0,0,0,0,0,18076.87,392684.09,1056052.83,931846.44,2101741.29,1267335.59,1605454.58,1073073.07,2096223.33,1552405.15,1571494.64,1020894.81,2257216.26,1597152.69,1643240.61,1080611.58,2080099.93,1666953.45,1603262.28,1005847.42,2243183.59,1816281.17,1857392.1,1021689.68,2198750.29,1680919.53,1857051.83,1247564.6,2528594.56,2031332.87,2056156.65,1184254.96,2846063,1694072.09,2026532.2,1042590.45,2058420.53,133859.83,0
-2.99,0,0,0,0,0,0,0,0,0,18005.11,391387.49,1052707.67,928844.31,2094013.32,1263032.08,1599644.53,1069473.62,2088511.51,1547124.94,1565926.84,1017224.33,2249098.29,1591394.22,1637418.23,1077007.24,2072682.68,1660841.76,1597706.98,1002326.55,2234859.14,1809701.11,1851054.71,1018176.89,2190737.4,1674830.62,1850716.04,1243208.41,2519455.77,2024056.78,2049019.26,1180134.71,2835123.38,1688004.49,2019049.87,1038949.69,2051179.49,133482.44,0
-2.98,0,0,0,0,0,0,0,0,0,17933.36,390090.89,1049362.51,925842.18,2086285.35,1258728.56,1593834.49,1065874.17,2080799.7,1541844.73,1560359.03,1013553.85,2240980.31,1585635.74,1631595.85,1073402.91,2065265.43,1654730.07,1592151.68,998805.68,2226534.69,1803121.04,1844717.33,1014664.1,2182724.52,1668741.71,1844380.26,1238852.22,2510316.98,2016780.7,2041881.87,1176014.46,2824183.76,1681936.88,2011567.55,1035308.92,2043938.45,133105.05,0
-2.97,0,0,0,0,0,0,0,0,0,17861.61,388794.3,1046017.35,922840.05,2078557.38,1254425.05,1588024.44,1062274.72,2073087.88,1536564.51,1554791.22,1009883.37,2232862.34,1579877.27,1625773.47,1069798.57,2057848.18,1648618.38,1586596.39,995284.81,2218210.24,1796540.98,1838379.94,1011151.31,2174711.63,1662652.8,1838044.47,1234496.02,2501178.2,2009504.61,2034744.47,1171894.21,2813244.14,1675869.27,2004085.22,1031668.16,2036697.41,132727.66,0
-2.96,0,0,0,0,0,0,0,0,0,17789.86,387497.7,1042672.19,919837.92,2070829.41,1250121.54,1582214.39,1058675.27,2065376.07,1531284.3,1549223.42,1006212.89,2224744.36,1574118.79,1619951.09,1066194.24,2050430.93,1642506.7,1581041.09,991763.94,2209885.79,1789960.92,1832042.56,1007638.52,2166698.75,1656563.89,1831708.69,1230139.83,2492039.41,2002228.53,2027607.08,1167773.95,2802304.52,1669801.67,1996602.9,1028027.4,2029456.38,132350.27,0
-2.95,0,0,0,0,0,0,0,0,0,17718.11,386201.1,1039327.04,916835.79,2063101.44,1245818.02,1576404.34,1055075.82,2057664.25,1526004.08,1543655.61,1002542.42,2216626.39,1568360.32,1614128.71,1062589.9,2043013.68,1636395.01,1575485.8,988243.07,2201561.34,1783380.86,1825705.17,1004125.73,2158685.86,1650474.98,1825372.9,1225783.64,2482900.62,1994952.44,2020469.69,1163653.7,2791364.91,1663734.06,1989120.57,1024386.63,2022215.34,131972.88,0
-2.94,0,0,0,0,0,0,0,0,0,17646.36,384904.51,1035981.88,913833.66,2055373.47,1241514.51,1570594.29,1051476.37,2049952.43,1520723.87,1538087.8,998871.94,2208508.41,1562601.84,1608306.33,1058985.57,2035596.43,1630283.32,1569930.5,984722.2,2193236.89,1776800.79,1819367.79,1000612.94,2150672.98,1644386.07,1819037.12,1221427.45,2473761.83,1987676.36,2013332.3,1159533.45,2780425.29,1657666.46,1981638.24,1020745.87,2014974.3,131595.49,0
-2.93,0,0,0,0,0,0,0,0,0,17574.61,383607.91,1032636.72,910831.54,2047645.51,1237210.99,1564784.25,1047876.91,2042240.62,1515443.66,1532520,995201.46,2200390.44,1556843.37,1602483.95,1055381.23,2028179.19,1624171.63,1564375.21,981201.33,2184912.44,1770220.73,1813030.4,997100.15,2142660.09,1638297.16,1812701.33,1217071.25,2464623.05,1980400.27,2006194.9,1155413.2,2769485.67,1651598.85,1974155.92,1017105.11,2007733.26,131218.1,0
-2.92,0,0,0,0,0,0,0,0,0,17502.86,382311.31,1029291.56,907829.41,2039917.54,1232907.48,1558974.2,1044277.46,2034528.8,1510163.44,1526952.19,991530.98,2192272.46,1551084.89,1596661.57,1051776.9,2020761.94,1618059.94,1558819.91,977680.46,2176587.99,1763640.67,1806693.02,993587.36,2134647.21,1632208.25,1806365.55,1212715.06,2455484.26,1973124.18,1999057.51,1151292.94,2758546.05,1645531.24,1966673.59,1013464.34,2000492.22,130840.71,0
-2.91,0,0,0,0,0,0,0,0,0,17431.11,381014.72,1025946.4,904827.28,2032189.57,1228603.97,1553164.15,1040678.01,2026816.99,1504883.23,1521384.38,987860.5,2184154.49,1545326.42,1590839.19,1048172.56,2013344.69,1611948.25,1553264.61,974159.59,2168263.54,1757060.61,1800355.63,990074.57,2126634.32,1626119.34,1800029.76,1208358.87,2446345.47,1965848.1,1991920.12,1147172.69,2747606.43,1639463.64,1959191.27,1009823.58,1993251.19,130463.32,0
-2.9,0,0,0,0,0,0,0,0,0,17359.36,379718.12,1022601.24,901825.15,2024461.6,1224300.45,1547354.1,1037078.56,2019105.17,1499603.02,1515816.58,984190.03,2176036.51,1539567.94,1585016.82,1044568.23,2005927.44,1605836.56,1547709.32,970638.73,2159939.09,1750480.55,1794018.25,986561.79,2118621.43,1620030.43,1793693.98,1204002.68,2437206.69,1958572.01,1984782.73,1143052.44,2736666.82,1633396.03,1951708.94,1006182.82,1986010.15,130085.93,0
-2.89,0,0,0,0,0,0,0,0,0,17293.72,378508.02,1019469.47,899018.56,2017306.62,1220293.16,1541968.64,1033722.25,2011965.81,1494686.21,1510646.99,980785.22,2168511.17,1534226.54,1579609.5,1041206.35,1999044.63,1600176.04,1542469.53,967367.15,2152237.1,1744380.65,1788066.04,983250.66,2111198.45,1614386.84,1787799.16,1199955.04,2428733.73,1951822.76,1978146.47,1139171.36,2726657.86,1627775.27,1944774.37,1002799.22,1979282.24,129729.72,0
-2.88,0,0,0,0,0,0,0,0,0,17228.08,377297.92,1016337.7,896211.98,2010151.64,1216285.86,1536583.17,1030365.94,2004826.45,1489769.41,1505477.4,977380.41,2160985.83,1528885.13,1574202.19,1037844.48,1992161.82,1594515.52,1537229.74,964095.57,2144535.11,1738280.75,1782113.83,979939.53,2103775.47,1608743.25,1781904.35,1195907.4,2420260.78,1945073.51,1971510.21,1135290.27,2716648.9,1622154.51,1937839.8,999415.62,1972554.33,129373.51,0
-2.87,0,0,0,0,0,0,0,0,0,17162.44,376087.81,1013205.93,893405.39,2002996.66,1212278.57,1531197.7,1027009.63,1997687.09,1484852.61,1500307.81,973975.61,2153460.48,1523543.73,1568794.88,1034482.6,1985279.02,1588855,1531989.95,960823.99,2136833.11,1732180.86,1776161.62,976628.4,2096352.49,1603099.66,1776009.53,1191859.76,2411787.83,1938324.25,1964873.96,1131409.19,2706639.94,1616533.75,1930905.22,996032.01,1965826.42,129017.29,0
-2.86,0,0,0,0,0,0,0,0,0,17096.8,374877.71,1010074.16,890598.8,1995841.69,1208271.27,1525812.24,1023653.33,1990547.72,1479935.8,1495138.23,970570.8,2145935.14,1518202.33,1563387.57,1031120.73,1978396.21,1583194.48,1526750.17,957552.41,2129131.12,1726080.96,1770209.41,973317.27,2088929.51,1597456.07,1770114.72,1187812.11,2403314.88,1931575,1958237.7,1127528.11,2696630.98,1610912.99,1923970.65,992648.41,1959098.5,128661.08,0
-2.85,0,0,0,0,0,0,0,0,0,17031.16,373667.61,1006942.39,887792.21,1988686.71,1204263.98,1520426.77,1020297.02,1983408.36,1475019,1489968.64,967165.99,2138409.8,1512860.92,1557980.26,1027758.85,1971513.4,1577533.96,1521510.38,954280.84,2121429.13,1719981.07,1764257.2,970006.14,2081506.53,1591812.48,1764219.9,1183764.47,2394841.92,1924825.75,1951601.44,1123647.03,2686622.03,1605292.23,1917036.08,989264.81,1952370.59,128304.87,0
-2.84,0,0,0,0,0,0,0,0,0,16965.53,372457.51,1003810.62,884985.63,1981531.73,1200256.69,1515041.31,1016940.71,1976269,1470102.2,1484799.05,963761.18,2130884.46,1507519.52,1552572.95,1024396.98,1964630.59,1571873.44,1516270.59,951009.26,2113727.14,1713881.17,1758304.99,966695.01,2074083.55,1586168.89,1758325.09,1179716.83,2386368.97,1918076.49,1944965.19,1119765.94,2676613.07,1599671.47,1910101.51,985881.21,1945642.68,127948.66,0
-2.83,0,0,0,0,0,0,0,0,0,16899.89,371247.41,1000678.85,882179.04,1974376.75,1196249.39,1509655.84,1013584.4,1969129.64,1465185.39,1479629.47,960356.38,2123359.11,1502178.12,1547165.64,1021035.11,1957747.79,1566212.92,1511030.8,947737.68,2106025.15,1707781.27,1752352.78,963383.89,2066660.57,1580525.3,1752430.27,1175669.19,2377896.02,1911327.24,1938328.93,1115884.86,2666604.11,1594050.71,1903166.94,982497.61,1938914.77,127592.45,0
-2.82,0,0,0,0,0,0,0,0,0,16834.25,370037.3,997547.09,879372.45,1967221.77,1192242.1,1504270.37,1010228.09,1961990.28,1460268.59,1474459.88,956951.57,2115833.77,1496836.71,1541758.33,1017673.23,1950864.98,1560552.4,1505791.01,944466.1,2098323.15,1701681.38,1746400.57,960072.76,2059237.59,1574881.71,1746535.46,1171621.55,2369423.07,1904577.99,1931692.67,1112003.78,2656595.15,1588429.95,1896232.37,979114.01,1932186.86,127236.24,0
-2.81,0,0,0,0,0,0,0,0,0,16768.61,368827.2,994415.32,876565.87,1960066.79,1188234.8,1498884.91,1006871.78,1954850.92,1455351.79,1469290.29,953546.76,2108308.43,1491495.31,1536351.02,1014311.36,1943982.17,1554891.88,1500551.23,941194.53,2090621.16,1695581.48,1740448.36,956761.63,2051814.6,1569238.12,1740640.64,1167573.91,2360950.11,1897828.73,1925056.42,1108122.69,2646586.2,1582809.19,1889297.79,975730.41,1925458.95,126880.03,0
-2.8,0,0,0,0,0,0,0,0,0,16702.97,367617.1,991283.55,873759.28,1952911.82,1184227.51,1493499.44,1003515.47,1947711.56,1450434.98,1464120.71,950141.95,2100783.08,1486153.9,1530943.71,1010949.48,1937099.36,1549231.36,1495311.44,937922.95,2082919.17,1689481.59,1734496.15,953450.5,2044391.62,1563594.53,1734745.83,1163526.27,2352477.16,1891079.48,1918420.16,1104241.61,2636577.24,1577188.43,1882363.22,972346.81,1918731.04,126523.81,0
-2.79,0,0,0,0,0,0,0,0,0,16642.7,366485.09,988345.32,871129.66,1946268.13,1180486.68,1488499.37,1000378.44,1941082.95,1445845.04,1459307.88,946974.91,2093789.82,1481185.73,1525908.46,1007806.32,1930703.15,1543973.74,1490429.67,934875.02,2075772.12,1683810.97,1728943.6,950365.42,2037495.44,1558348.88,1729250.29,1159755.47,2344599.56,1884801.61,1912233.9,1100628.87,2627252.46,1571960.05,1875929.99,969193.98,1912465.99,126187.05,0
