gageDepth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
-3,0,0,0,0,0,0,0,0,0,0,87515,1263883,3254566,2866616,6628314,3937878,5175693,3306376,6623001,4878939,4904755,3111873,7008173,4960734,5019964,3180917,6792700,5268558,5004181,3107871,7154071,5707097,5810511,3291820,7066251,5282986,5939437,4115030,8064096,6682821,6650014,4038893,9478726,5585680,6554727,3164971,6341745,381568
-2.99,0,0,0,0,0,0,0,0,0,0,87286.3,1259653.5,3243013.8,2856430.2,6605391.6,3923675,5157861.7,3294678.2,6599368.9,4862247.3,4887683.7,3101333.9,6983486.5,4942903,5002272.2,3170074.4,6769070.7,5250164.5,4986720.3,3096861.1,7128713.7,5686950.2,5790448.5,3280461.9,7042126.4,5264233.3,5918963.9,4101066,8036418.2,6659019.9,6627755.6,4024962,9445975.6,5566264.7,6531057.5,3153728.8,6318171.6,379979.4
-2.98,0,0,0,0,0,0,0,0,0,0,87057.6,1255424,3231461.6,2846244.4,6582469.2,3909472,5140030.4,3282980.4,6575736.8,4845555.6,4870612.4,3090794.8,6958800,4925072,4984580.4,3159231.8,6745441.4,5231771,4969259.6,3085851.2,7103356.4,5666803.4,5770386,3269103.8,7018001.8,5245480.6,5898490.8,4087102,8008740.4,6635218.8,6605497.2,4011031,9413225.2,5546849.4,6507388,3142486.6,6294598.2,378390.8
-2.97,0,0,0,0,0,0,0,0,0,0,86828.9,1251194.5,3219909.4,2836058.6,6559546.8,3895269,5122199.1,3271282.6,6552104.7,4828863.9,4853541.1,3080255.7,6934113.5,4907241,4966888.6,3148389.2,6721812.1,5213377.5,4951798.9,3074841.3,7077999.1,5646656.6,5750323.5,3257745.7,6993877.2,5226727.9,5878017.7,4073138,7981062.6,6611417.7,6583238.8,3997100,9380474.8,5527434.1,6483718.5,3131244.4,6271024.8,376802.2
-2.96,0,0,0,0,0,0,0,0,0,0,86600.2,1246965,3208357.2,2825872.8,6536624.4,3881066,5104367.8,3259584.8,6528472.6,4812172.2,4836469.8,3069716.6,6909427,4889410,4949196.8,3137546.6,6698182.8,5194984,4934338.2,3063831.4,7052641.8,5626509.8,5730261,3246387.6,6969752.6,5207975.2,5857544.6,4059174,7953384.8,6587616.6,6560980.4,3983169,9347724.4,5508018.8,6460049,3120002.2,6247451.4,375213.6
-2.95,0,0,0,0,0,0,0,0,0,0,86371.5,1242735.5,3196805,2815687,6513702,3866863,5086536.5,3247887,6504840.5,4795480.5,4819398.5,3059177.5,6884740.5,4871579,4931505,3126704,6674553.5,5176590.5,4916877.5,3052821.5,7027284.5,5606363,5710198.5,3235029.5,6945628,5189222.5,5837071.5,4045210,7925707,6563815.5,6538722,3969238,9314974,5488603.5,6436379.5,3108760,6223878,373625
-2.94,0,0,0,0,0,0,0,0,0,0,86142.8,1238506,3185252.8,2805501.2,6490779.6,3852660,5068705.2,3236189.2,6481208.4,4778788.8,4802327.2,3048638.4,6860054,4853748,4913813.2,3115861.4,6650924.2,5158197,4899416.8,3041811.6,7001927.2,5586216.2,5690136,3223671.4,6921503.4,5170469.8,5816598.4,4031246,7898029.2,6540014.4,6516463.6,3955307,9282223.6,5469188.2,6412710,3097517.8,6200304.6,372036.4
-2.93,0,0,0,0,0,0,0,0,0,0,85914.1,1234276.5,3173700.6,2795315.4,6467857.2,3838457,5050873.9,3224491.4,6457576.3,4762097.1,4785255.9,3038099.3,6835367.5,4835917,4896121.4,3105018.8,6627294.9,5139803.5,4881956.1,3030801.7,6976569.9,5566069.4,5670073.5,3212313.3,6897378.8,5151717.1,5796125.3,4017282,7870351.4,6516213.3,6494205.2,3941376,9249473.2,5449772.9,6389040.5,3086275.6,6176731.2,370447.8
-2.92,0,0,0,0,0,0,0,0,0,0,85685.4,1230047,3162148.4,2785129.6,6444934.8,3824254,5033042.6,3212793.6,6433944.2,4745405.4,4768184.6,3027560.2,6810681,4818086,4878429.6,3094176.2,6603665.6,5121410,4864495.4,3019791.8,6951212.6,5545922.6,5650011,3200955.2,6873254.2,5132964.4,5775652.2,4003318,7842673.6,6492412.2,6471946.8,3927445,9216722.8,5430357.6,6365371,3075033.4,6153157.8,368859.2
-2.91,0,0,0,0,0,0,0,0,0,0,85456.7,1225817.5,3150596.2,2774943.8,6422012.4,3810051,5015211.3,3201095.8,6410312.1,4728713.7,4751113.3,3017021.1,6785994.5,4800255,4860737.8,3083333.6,6580036.3,5103016.5,4847034.7,3008781.9,6925855.3,5525775.8,5629948.5,3189597.1,6849129.6,5114211.7,5755179.1,3989354,7814995.8,6468611.1,6449688.4,3913514,9183972.4,5410942.3,6341701.5,3063791.2,6129584.4,367270.6
