waterLevel,Month,buildingsImpacted,matchString
74,1,0.741,74_1
74,10,0.512,74_10
74,11,1.299,74_11
74,12,0.804,74_12
74,2,0.438,74_2
74,3,0.234,74_3
74,4,0.028,74_4
74,5,0,74_5
74,6,0,74_6
74,7,0,74_7
74,8,0,74_8
74,9,0.01,74_9
74.01,1,1.595,74.01_1
74.01,10,1.052,74.01_10
74.01,11,2.687,74.01_11
74.01,12,1.718,74.01_12
74.01,2,0.976,74.01_2
74.01,3,0.558,74.01_3
74.01,4,0.099,74.01_4
74.01,5,0.008,74.01_5
74.01,6,0.004,74.01_6
74.01,7,0.001,74.01_7
74.01,8,0.001,74.01_8
74.01,9,0.031,74.01_9
74.02,1,2.561,74.02_1
74.02,10,1.62,74.02_10
74.02,11,4.163,74.02_11
74.02,12,2.741,74.02_12
74.02,2,1.614,74.02_2
74.02,3,0.972,74.02_3
74.02,4,0.211,74.02_4
74.02,5,0.023,74.02_5
74.02,6,0.011,74.02_6
74.02,7,0.003,74.02_7
74.02,8,0.004,74.02_8
74.02,9,0.064,74.02_9
74.03,1,3.64,74.03_1
74.03,10,2.216,74.03_10
74.03,11,5.727,74.03_11
74.03,12,3.874,74.03_12
74.03,2,2.351,74.03_2
74.03,3,1.476,74.03_3
74.03,4,0.365,74.03_4
74.03,5,0.046,74.03_5
74.03,6,0.022,74.03_6
74.03,7,0.006,74.03_7
74.03,8,0.008,74.03_8
74.03,9,0.109,74.03_9
74.04,1,4.831,74.04_1
74.04,10,2.84,74.04_10
74.04,11,7.379,74.04_11
74.04,12,5.117,74.04_12
74.04,2,3.188,74.04_2
74.04,3,2.069,74.04_3
74.04,4,0.561,74.04_4
74.04,5,0.076,74.04_5
74.04,6,0.037,74.04_6
74.04,7,0.01,74.04_7
74.04,8,0.014,74.04_8
74.04,9,0.166,74.04_9
74.05,1,6.135,74.05_1
74.05,10,3.493,74.05_10
74.05,11,9.119,74.05_11
74.05,12,6.469,74.05_12
74.05,2,4.125,74.05_2
74.05,3,2.752,74.05_3
74.05,4,0.799,74.05_4
74.05,5,0.113,74.05_5
74.05,6,0.055,74.05_6
74.05,7,0.016,74.05_7
74.05,8,0.021,74.05_8
74.05,9,0.235,74.05_9
74.06,1,7.551,74.06_1
74.06,10,4.173,74.06_10
74.06,11,10.947,74.06_11
74.06,12,7.932,74.06_12
74.06,2,5.161,74.06_2
74.06,3,3.524,74.06_3
74.06,4,1.078,74.06_4
74.06,5,0.157,74.06_5
74.06,6,0.077,74.06_6
74.06,7,0.023,74.06_7
74.06,8,0.03,74.06_8
74.06,9,0.316,74.06_9
74.07,1,9.08,74.07_1
74.07,10,4.882,74.07_10
74.07,11,12.864,74.07_11
74.07,12,9.504,74.07_12
74.07,2,6.296,74.07_2
74.07,3,4.386,74.07_3
74.07,4,1.4,74.07_4
74.07,5,0.209,74.07_5
74.07,6,0.102,74.07_6
74.07,7,0.031,74.07_7
74.07,8,0.04,74.07_8
74.07,9,0.409,74.07_9
74.08,1,10.72,74.08_1
74.08,10,5.618,74.08_10
74.08,11,14.869,74.08_11
74.08,12,11.185,74.08_12
74.08,2,7.531,74.08_2
74.08,3,5.338,74.08_3
74.08,4,1.763,74.08_4
74.08,5,0.268,74.08_5
74.08,6,0.131,74.08_6
74.08,7,0.04,74.08_7
74.08,8,0.051,74.08_8
74.08,9,0.513,74.08_9
74.09,1,12.473,74.09_1
74.09,10,6.383,74.09_10
74.09,11,16.962,74.09_11
74.09,12,12.977,74.09_12
74.09,2,8.866,74.09_2
74.09,3,6.38,74.09_3
74.09,4,2.168,74.09_4
74.09,5,0.335,74.09_5
74.09,6,0.164,74.09_6
74.09,7,0.05,74.09_7
74.09,8,0.063,74.09_8
74.09,9,0.629,74.09_9
74.1,1,14.338,74.1_1
74.1,10,7.175,74.1_10
74.1,11,19.144,74.1_11
74.1,12,14.878,74.1_12
74.1,2,10.3,74.1_2
74.1,3,7.511,74.1_3
74.1,4,2.615,74.1_4
74.1,5,0.409,74.1_5
74.1,6,0.2,74.1_6
74.1,7,0.061,74.1_7
74.1,8,0.077,74.1_8
74.1,9,0.757,74.1_9
74.11,1,16.364,74.11_1
74.11,10,8.033,74.11_10
74.11,11,21.435,74.11_11
74.11,12,16.945,74.11_12
74.11,2,11.819,74.11_2
74.11,3,8.747,74.11_3
74.11,4,3.141,74.11_4
74.11,5,0.52,74.11_5
74.11,6,0.244,74.11_6
74.11,7,0.08,74.11_7
74.11,8,0.104,74.11_8
74.11,9,0.898,74.11_9
74.12,1,18.551,74.12_1
74.12,10,8.956,74.12_10
74.12,11,23.835,74.12_11
74.12,12,19.178,74.12_12
74.12,2,13.423,74.12_2
74.12,3,10.089,74.12_3
74.12,4,3.748,74.12_4
74.12,5,0.667,74.12_5
74.12,6,0.294,74.12_6
74.12,7,0.107,74.12_7
74.12,8,0.144,74.12_8
74.12,9,1.052,74.12_9
74.13,1,20.897,74.13_1
74.13,10,9.944,74.13_10
74.13,11,26.345,74.13_11
74.13,12,21.577,74.13_12
74.13,2,15.112,74.13_2
74.13,3,11.535,74.13_3
74.13,4,4.434,74.13_4
74.13,5,0.852,74.13_5
74.13,6,0.351,74.13_6
74.13,7,0.142,74.13_7
74.13,8,0.199,74.13_8
74.13,9,1.219,74.13_9
74.14,1,23.404,74.14_1
74.14,10,10.997,74.14_10
74.14,11,28.964,74.14_11
74.14,12,24.142,74.14_12
74.14,2,16.886,74.14_2
74.14,3,13.087,74.14_3
74.14,4,5.201,74.14_4
