zoneID,minElevation,maxElevation,areaFraction,yearsLFLD
1,73,73.01,0,-200
2,73.01,73.02,0,-200
3,73.02,73.03,0,-200
4,73.03,73.04,0,-200
5,73.04,73.05,0,-200
6,73.05,73.06,0,-200
7,73.06,73.07,0,-200
8,73.07,73.08,0,-200
9,73.08,73.09,0,-200
10,73.09,73.1,0,-200
11,73.1,73.11,0,-200
12,73.11,73.12,0,-200
13,73.12,73.13,0,-200
14,73.13,73.14,0,-200
15,73.14,73.15,0,-200
16,73.15,73.16,0,-200
17,73.16,73.17,0,-200
18,73.17,73.18,0,-200
19,73.18,73.19,0,-200
20,73.19,73.2,0,-200
21,73.2,73.21,0,-200
22,73.21,73.22,0,-200
23,73.22,73.23,0,-200
24,73.23,73.24,0,-200
25,73.24,73.25,0,-200
26,73.25,73.26,0,-200
27,73.26,73.27,0,-200
28,73.27,73.28,0,-200
29,73.28,73.29,0,-200
30,73.29,73.3,0,-200
31,73.3,73.31,0,-200
32,73.31,73.32,0,-200
33,73.32,73.33,0,-200
34,73.33,73.34,0,-200
35,73.34,73.35,0,-200
36,73.35,73.36,0,-200
37,73.36,73.37,0,-200
38,73.37,73.38,0,-200
39,73.38,73.39,0,-200
40,73.39,73.4,0,-200
41,73.4,73.41,0,-200
42,73.41,73.42,0,-200
43,73.42,73.43,0,-200
44,73.43,73.44,0,-200
45,73.44,73.45,0,-200
46,73.45,73.46,0,-200
47,73.46,73.47,0,-200
48,73.47,73.48,0,-200
49,73.48,73.49,0,-200
50,73.49,73.5,0,-200
51,73.5,73.51,0,-200
52,73.51,73.52,0,-200
53,73.52,73.53,0,-200
54,73.53,73.54,0,-200
55,73.54,73.55,0,-200
56,73.55,73.56,0,-200
57,73.56,73.57,0,-200
58,73.57,73.58,0,-200
59,73.58,73.59,0,-200
60,73.59,73.6,0,-200
61,73.6,73.61,0,-200
62,73.61,73.62,0,-200
63,73.62,73.63,0,-200
64,73.63,73.64,0,-200
65,73.64,73.65,0,-200
66,73.65,73.66,0,-200
67,73.66,73.67,0,-200
68,73.67,73.68,0,-200
69,73.68,73.69,0,-200
70,73.69,73.7,0,-200
71,73.7,73.71,0,-200
72,73.71,73.72,0,-200
73,73.72,73.73,0,-200
74,73.73,73.74,0,-200
75,73.74,73.75,0,-200
76,73.75,73.76,0,-200
77,73.76,73.77,0,-200
78,73.77,73.78,0,-200
79,73.78,73.79,0,-200
80,73.79,73.8,0,-200
81,73.8,73.81,0,-200
82,73.81,73.82,0,-200
83,73.82,73.83,0,-200
84,73.83,73.84,0,-200
85,73.84,73.85,0,-200
86,73.85,73.86,0,-200
87,73.86,73.87,0,-200
88,73.87,73.88,0,-200
89,73.88,73.89,0,-200
90,73.89,73.9,0,-200
91,73.9,73.91,0,-200
92,73.91,73.92,0,-200
93,73.92,73.93,0,-200
94,73.93,73.94,0,-200
95,73.94,73.95,0,-200
96,73.95,73.96,0,-200
97,73.96,73.97,0,-200
98,73.97,73.98,0,-200
99,73.98,73.99,0,-200
100,73.99,74,0,-200
101,74,74.01,0,-200
102,74.01,74.02,0,-200
103,74.02,74.03,0,-200
104,74.03,74.04,0,-200
105,74.04,74.05,0,-200
106,74.05,74.06,0,-200
107,74.06,74.07,0,-200
108,74.07,74.08,0,-200
109,74.08,74.09,0,-200
110,74.09,74.1,0,-200
111,74.1,74.11,0,-200
112,74.11,74.12,0,-200
113,74.12,74.13,0.0001,-200
114,74.13,74.14,0.0001,-200
115,74.14,74.15,0.0001,-200
116,74.15,74.16,0.0001,-200
117,74.16,74.17,0.0001,-200
118,74.17,74.18,0.0001,-200
119,74.18,74.19,0.0126,-200
120,74.19,74.2,0.0001,-200
121,74.2,74.21,0.0001,-200
122,74.21,74.22,0.0001,-200
123,74.22,74.23,0.0087,-200
124,74.23,74.24,0.0002,-200
125,74.24,74.25,0.0003,-200
126,74.25,74.26,0.0002,-200
127,74.26,74.27,0.1275,-200
128,74.27,74.28,0.0104,-200
129,74.28,74.29,0.0004,-200
130,74.29,74.3,0.0054,-200
131,74.3,74.31,0.0019,-200
132,74.31,74.32,0.0007,-200
133,74.32,74.33,0.0011,-200
134,74.33,74.34,0.0013,-200
135,74.34,74.35,0.0012,-200
136,74.35,74.36,0.0013,-200
137,74.36,74.37,0.0013,-200
138,74.37,74.38,0.0017,-200
139,74.38,74.39,0.0042,-200
140,74.39,74.4,0.0017,-200
141,74.4,74.41,0.0017,-200
142,74.41,74.42,0.0019,-200
143,74.42,74.43,0.0022,-200
144,74.43,74.44,0.0027,-200
145,74.44,74.45,0.0032,-200
146,74.45,74.46,0.0043,-200
147,74.46,74.47,0.0045,-200
148,74.47,74.48,0.0055,-200
149,74.48,74.49,0.0039,-200
150,74.49,74.5,0.0042,-200
151,74.5,74.51,0.0035,-200
152,74.51,74.52,0.0035,-200
153,74.52,74.53,0.0047,-200
154,74.53,74.54,0.005,-200
155,74.54,74.55,0.0047,-200
156,74.55,74.56,0.005,-200
157,74.56,74.57,0.0058,-200
158,74.57,74.58,0.0062,-200
159,74.58,74.59,0.0068,-200
160,74.59,74.6,0.0075,-200
161,74.6,74.61,0.0084,-200
162,74.61,74.62,0.0095,-200
163,74.62,74.63,0.009,-200
164,74.63,74.64,0.009,-200
165,74.64,74.65,0.0102,-200
166,74.65,74.66,0.012,-200
167,74.66,74.67,0.0131,-200
168,74.67,74.68,0.014,-200
169,74.68,74.69,0.0152,-200
170,74.69,74.7,0.0152,-200
171,74.7,74.71,0.0169,-200
172,74.71,74.72,0.0173,-200
173,74.72,74.73,0.0201,-200
174,74.73,74.74,0.0198,-200
175,74.74,74.75,0.0216,-200
176,74.75,74.76,0.0225,-200
177,74.76,74.77,0.0169,-200
178,74.77,74.78,0.0197,-200
179,74.78,74.79,0.019,-200
180,74.79,74.8,0.0191,-200
181,74.8,74.81,0.0202,-200
182,74.81,74.82,0.0211,-200
183,74.82,74.83,0.0229,-200
184,74.83,74.84,0.0219,-200
185,74.84,74.85,0.025,-200
186,74.85,74.86,0.0222,-200
187,74.86,74.87,0.0222,-200
188,74.87,74.88,0.0221,-200
189,74.88,74.89,0.0201,-200
190,74.89,74.9,0.0167,-200
191,74.9,74.91,0.0164,-200
192,74.91,74.92,0.0143,-200
193,74.92,74.93,0.0156,-200
194,74.93,74.94,0.0141,-200
195,74.94,74.95,0.0129,-200
196,74.95,74.96,0.0117,-200
197,74.96,74.97,0.0111,-200
198,74.97,74.98,0.0108,-200
199,74.98,74.99,0.009,-200
200,74.99,75,0.0073,-200
201,75,75.01,0.0063,-200
202,75.01,75.02,0.0047,-200
203,75.02,75.03,0.0042,-200
204,75.03,75.04,0.0045,-200
205,75.04,75.05,0.0048,-200
206,75.05,75.06,0.0045,-200
207,75.06,75.07,0.0045,-200
208,75.07,75.08,0.0044,-200
209,75.08,75.09,0.0035,-200
210,75.09,75.1,0.0036,-200
211,75.1,75.11,0.0045,-200
212,75.11,75.12,0.0038,-200
213,75.12,75.13,0.004,-200
214,75.13,75.14,0.0041,-200
215,75.14,75.15,0.0027,-200
216,75.15,75.16,0.0023,-200
217,75.16,75.17,0.0018,-200
218,75.17,75.18,0.0017,-200
219,75.18,75.19,0.0013,-200
220,75.19,75.2,0.001,-200
221,75.2,75.21,0.0008,-200
222,75.21,75.22,0.0007,-200
223,75.22,75.23,0.0007,-200
224,75.23,75.24,0.0007,-200
225,75.24,75.25,0.0006,-200
226,75.25,75.26,0.0005,-200
227,75.26,75.27,0.0005,-200
228,75.27,75.28,0.0004,-200
229,75.28,75.29,0.0004,-200
