year,qm48,alex_mlv_m_qm48_na_na,broc_mlv_m_qm48_na_na,ogde_mlv_m_qm48_na_na,card_mlv_m_qm48_na_na,irhw_mlv_m_qm48_na_na,irtw_mlv_m_qm48_na_na,morr_mlv_m_qm48_na_na,intw_mlv_m_qm48_na_na,corn_mlv_m_qm48_na_na,summ_mlv_m_qm48_na_na,lstd_mlv_m_qm48_na_na,sahw_mlv_m_qm48_na_na,ptcl_mlv_m_qm48_na_na,jty1_mlv_m_qm48_na_na,vare_mlv_m_qm48_na_na,sorl_mlv_m_qm48_na_na,lspr_mlv_m_qm48_na_na,triv_mlv_m_qm48_na_na,bati_mlv_m_qm48_na_na,stl_tde_m_qm48_na_na,lebe_mlv_m_qm48_na_na,stla_mlv_m_qm48_na_na,mask_mlv_m_qm48_na_na,dpmi_flw_cms_qm48_na_na,rich_flw_cms_qm48_na_na,stmc_flw_cms_qm48_na_na,stfr_flw_cms_qm48_na_na,ogde_rgh_xx_qm48_na_na,card_rgh_xx_qm48_na_na,irhw_rgh_xx_qm48_na_na,irtw_rgh_xx_qm48_na_na,morr_rgh_xx_qm48_na_na,corn_rgh_xx_qm48_na_na,summ_rgh_xx_qm48_na_na,jty1_rgh_xx_qm48_na_na,vare_rgh_xx_qm48_na_na,sorl_rgh_xx_qm48_na_na,triv_rgh_xx_qm48_na_na,lspr_rgh_xx_qm48_na_na,bati_rgh_xx_qm48_na_na,intw_rgh_xx_qm48_na_na,eri_flw_cms_qm48_na_spinup,ont_nbs_cms_qm48_na_spinup,ont_mlv_m_qm48_na_spinup,slon_flw_cms_qm48_na_spinup,ont_flw_cms_qm48_na_flmt,ont_flw_cms_qm48_na_ilmt,ont_flw_cms_qm48_na_jlmt,ont_flw_cms_qm48_na_llmt,ont_flw_cms_qm48_na_mlmt,ont_flw_cms_qm48_na_plan,ont_flw_cms_qm48_na_rcmean,ont_blv_m_qm48_na_na,ont_mlv_m_qm48_na_na,ont_elv_m_qm48_na_na,ont_nts_cms_qm48_na_na,ont_sym_xx_qm48_na_na,ont_nts_cms_qm48_na_yravg,lstd_rgh_xx_qm48_na_na,sahw_rgh_xx_qm48_na_na,ptcl_rgh_xx_qm48_na_na,slon_flw_cms_qm48_na_na,eri_flw_cms_qm48_na_na,ont_nbs_cms_qm48_na_na,stl_ics_xx_qm48_na_na,na_fst_xx_qm48_na_na
1961,1,74.4,74.29,74.24,73.82,73.67,73.63,73.37,47.99,47.11,46.82,73.07,73.01,21.14,6.01,5.25,4.35,3.85,3.86,3.0,0.0369,21.14,5.04,3.85,906.0,118.0,458.0,58.0,1.183,1.128,1.139,1.1540000000000001,1.237,1.501,1.7309999999999999,1.148,1.143,1.112,1.271,1.06,1.2,1.083,4830.0,220,74.53,752.0,8930.0,6230.0,0.0,9000.0,6050.0,6220.0,6220.0,74.55,74.53,74.51,5050.0,RC,6851.0,1.3530000000000002,1.3719999999999999,1.19,752.0,4830.0,220,2.0,0.0
1961,2,74.37,74.27,74.23,73.83,73.63,73.6,73.34,47.92,47.22,46.81,73.12,73.05,21.26,5.81,5.06,4.23,3.74,3.84,2.88,-0.0435,21.26,5.23,3.74,906.0,118.0,553.0,67.0,1.11,1.067,1.171,1.17,1.255,1.761,1.7080000000000002,1.1079999999999999,1.1,1.0959999999999999,1.3030000000000002,1.052,1.199,1.072,5440.0,-470,74.49,829.0,8400.0,8030.0,0.0,8900.0,5980.0,6120.0,6120.0,74.51,74.49,74.47,4970.0,RC,6820.0,1.301,1.329,1.248,829.0,5440.0,-470,2.0,0.0
1961,3,74.32,74.21,74.16,73.64,73.31,73.28,72.93,47.91,47.15,46.84,72.7,72.63,21.4,5.68,4.89,4.15,3.67,4.26,3.35,0.0388,21.4,5.44,3.67,803.0,94.0,567.0,58.0,1.3019999999999998,1.357,1.597,1.58,1.6980000000000002,1.6380000000000001,1.881,1.042,1.018,1.021,1.455,0.976,1.401,1.078,5590.0,-520,74.46,985.0,7920.0,7160.0,0.0,8820.0,5820.0,6060.0,6060.0,74.47,74.46,74.44,5070.0,RC,6763.0,1.693,1.709,1.294,985.0,5590.0,-520,2.0,0.0
1961,4,74.29,74.18,74.13,73.64,73.28,73.25,72.85,47.9,47.03,46.78,72.63,72.57,21.26,5.84,5.14,4.38,4.04,4.55,3.54,-0.0418,21.26,5.23,4.04,834.0,94.0,516.0,55.0,1.265,1.3,1.5919999999999999,1.574,1.757,1.405,1.618,1.1079999999999999,1.126,1.155,1.665,1.186,1.621,1.0859999999999999,5450.0,-390,74.42,1066.0,8310.0,7010.0,0.0,8750.0,5740.0,6000.0,6000.0,74.44,74.42,74.41,5060.0,RC,6741.0,1.736,1.746,1.229,1066.0,5450.0,-390,2.0,0.0
1961,5,74.25,74.14,74.09,73.61,73.27,73.25,72.84,47.85,46.95,46.74,72.63,72.56,21.26,5.86,5.16,4.36,3.87,4.56,3.5,0.0483,21.26,5.23,3.87,822.0,72.0,513.0,53.0,1.3030000000000002,1.307,1.577,1.557,1.764,1.27,1.401,1.091,1.1059999999999999,1.105,1.6130000000000002,1.0590000000000002,1.506,1.074,5000.0,-260,74.39,1119.0,8240.0,6930.0,0.0,8680.0,5690.0,5930.0,5930.0,74.41,74.39,74.37,4740.0,RC,6717.0,1.74,1.7519999999999998,1.2309999999999999,1119.0,5000.0,-260,2.0,0.0
1961,6,74.22,74.1,74.05,73.54,73.25,73.29,72.94,47.77,47.0,46.78,72.69,72.64,20.79,5.6,4.93,4.14,3.62,4.21,3.18,-0.0469,20.79,4.5,3.62,843.0,72.0,472.0,50.0,1.3869999999999998,1.412,1.5959999999999999,1.486,1.649,1.389,1.629,1.079,1.093,1.0979999999999999,1.561,1.045,1.46,1.053,5310.0,80,74.36,953.0,9910.0,6940.0,0.0,8570.0,5850.0,5850.0,5840.0,74.37,74.36,74.35,5390.0,M,6677.0,1.6780000000000002,1.685,1.061,953.0,5310.0,80,2.0,0.0
1961,7,74.2,74.08,74.03,73.55,73.14,73.11,72.76,47.82,47.01,46.8,72.54,72.48,20.79,5.67,4.99,4.27,3.81,4.2,3.21,0.0443,20.79,4.5,3.81,865.0,66.0,488.0,52.0,1.3359999999999999,1.2770000000000001,1.6269999999999998,1.605,1.715,1.374,1.6869999999999998,1.074,1.079,1.099,1.474,1.061,1.3630000000000002,1.051,5210.0,280,74.34,825.0,10040.0,6870.0,0.0,8560.0,5980.0,5980.0,5840.0,74.35,74.34,74.33,5490.0,M,6633.0,1.695,1.699,1.061,825.0,5210.0,280,2.0,0.0
1961,8,74.26,74.15,74.1,73.69,73.42,73.39,73.06,47.81,47.09,46.85,72.84,72.77,20.7,5.54,4.85,4.1,3.63,4.2,3.09,-0.0405,20.7,4.37,3.63,855.0,113.0,475.0,132.0,1.314,1.1909999999999998,1.391,1.3780000000000001,1.536,1.55,2.041,1.051,1.052,1.0590000000000002,1.5090000000000001,1.021,1.345,1.062,5540.0,3760,74.39,912.0,10330.0,7070.0,0.0,8540.0,5890.0,5890.0,5820.0,74.33,74.39,74.45,9300.0,M,6595.0,1.554,1.575,1.025,912.0,5540.0,3760,2.0,0.0
1961,9,74.36,74.26,74.22,73.82,73.68,73.65,73.43,47.92,47.05,46.85,73.2,73.17,20.94,5.97,5.26,4.39,3.97,4.49,3.5,0.0364,20.94,4.73,3.97,903.0,400.0,476.0,232.0,1.074,1.0270000000000001,1.04,1.044,1.1079999999999999,1.4040000000000001,1.909,1.062,1.071,1.041,1.389,1.02,1.306,1.056,5560.0,2530,74.48,1166.0,9900.0,8210.0,0.0,8930.0,5640.0,6200.0,6200.0,74.45,74.48,74.51,8090.0,RC,6643.0,1.168,1.162,1.041,1166.0,5560.0,2530,2.0,0.0
1961,10,74.4,74.3,74.25,73.82,73.67,73.63,73.42,47.93,47.05,46.84,73.18,73.14,21.01,5.82,5.11,4.25,3.82,4.52,3.51,-0.0429,21.01,4.84,3.82,911.0,535.0,507.0,147.0,1.13,1.084,1.0959999999999999,1.101,1.1340000000000001,1.3659999999999999,1.8030000000000002,1.056,1.063,1.043,1.456,1.028,1.382,1.041,5610.0,1680,74.53,977.0,9690.0,8310.0,0.0,9080.0,5830.0,6330.0,6330.0,74.51,74.53,74.55,7290.0,RC,6680.0,1.193,1.19,1.08,977.0,5610.0,1680,2.0,0.0
