Impact Location,Water Level Location,Category,Thresholds (m),Thresholds (ft),Coastal Property Narrative,Marinas and Yacht Club Narrative,Municipal and Industrial Water Use Narrative,Municipal Asset Narrative
Toronto,Context,Context,Context,Context,"The shoreline of Toronto has considerable development, but also a lot of public land. There is approximately 150 km of shoreline, including Toronto Island and the Leslie Street Spit.

Residential development on Toronto Island has the most signficant residential flood risk, although there are small pockets of other residential areas that are susceptible to wave induced flood risk as well as public lands.

Shoreline erosion is also a concern in some areas, particularly the Scarborough Bluffs. It is roughly estimated there are about 1500 buildings directly along the shoreline or near the shoreline and below 77m elevation. In a separate analysis, TRCA/Baird (2019) estimate around 258 residential buildings specifically on Toronto Island.

The City of Toronto and TRCA have identified a range of impacts to public assets, a vital component for the. These impacts are described further in adjacent columns.","There are numerous marinas and a yacht clubs in the Toronto area, some very large in size. A total of 22 facilities responded to the GLAM/LURA survey following 2017. Those facilities identified almost 3200 boat slips at the facilities. 

There are a range of public and private boat launches, although the GLAM Committee does not have a current inventory of these facilities. The Toronto waterfront represents and important recreational asset of the city.","The Toronto shoreline is almost exclusively serviced by municipal water supply and wastewater treatment. As well, there are large water treatment and wastewater treatment facilities directly along the shoreline that service the broader City of Toronto. On Toronto Island, there is also an additional water treatment facility. 

Given the nature of the waterfront, there are also non-municipal industrial water users (i.e. pulling water directly from the lake), although the GLAM Committee does not have an inventory of those facilities.","Public shoreline assets are common along the waterfront in the City of Toronto. The City itself has considerable shoreline within public parks, in addition to Toronto Island (map of east https://www.toronto.ca/wp-content/uploads/2017/09/963b-parksTrailsMap-east.pdf and west parks https://www.toronto.ca/wp-content/uploads/2017/08/867d-parks-trails-map-west.pdf). As well, the Toronto and Region Conservation Authority also maintains land along the shoreline. The Toronto waterfront represents and important recreational asset of the city."
Toronto,ontLevel,Extreme,76,249.28,"Levels never experienced before. Based on 2019 and 2017, along with separate studies, expect extensive flooding on Toronto Island including some first floor flooding - >50% of Island homes at risk of flooding if instantaneous levels (e.g. lakewide levels plus short term fluctuations) exceed 76.0 m (see TRCA/Baird 2019 report), Island Airport may need to be closed, main island roads flooded/unstable, ferry service disruption/closure expected, possible loss of hydropower on island forcing closures and evacuations. Widespread flooding to direct shoreline infrastructure on mainland (e.g. trails, parks, public amenities, Lakeshore BLVD during precipitation events)

Water levels in this range were not reached in 2017, 2019 or 2020.  
• Flooding at approximately 40.6% of the Toronto Islands (total area and number of structures) at a Lake Ontario static water level of 76.0m, IGLD85
• Flooding of portions of Billy Bishop Toronto City Airport facilities, including access roads, as well as taxiways and runways
• Flooding of Toronto Hydro non-submersible assets and requirement to de-energize portions of Toronto Island","• Island Ferry docking operational concerns; despite the retrofits, even higher lake levels could limit ferry service","• Flooding of Toronto Hydro non-submersible assets and requirement to de-energize portions of Toronto Islands, which in-turn would likely trigger secondary impacts such as the evacuation/public closure of Toronto Islands, and potential impacts to the Toronto Island Water Treatment Plant, which may not be able to support peak loads for the Enwave Deep Lake Water Cooling system’s provision of air conditioning to the downtown core during summer months. 
• Impacts to Toronto Islands wastewater treatment pumping stations and potential sewer servicing suspension
• Potential impacts to other wastewater treatment facilities along the waterfront
• Significant local drainage issues during rainfall events for underpasses and low-lying areas throughout downtown Toronto
• Insufficient freeboard under Liverpool Road to pass flows from Krosno Creek in Ajax
• Reduced capacity of river mouths, including the Humber and Don River, in turn reducing the freeboard to Don Valley Parkway for flooding during riverine flooding events on the Lower Don River. ","insufficient information to categorize Municipal asset impacts within this range, but given the extent of public shoreline and the description of impacts in the severe category based on 2017 and 2019 observations, impacts in the severe water level range are expected to be signficant."
Toronto,ontLevel,Severe,75.7,248.296,"TRCA issues Lakeshore Flood Warning for Lake Ontario water levels > 75.7 m (IGLD85). There is widespread flooding on Toronto Island although the Island is expected to remain open based on ferry modifications following 2017 when the island did need to close. While the island remains open, there would be significant impacts to operations along with a significant flood response required on the island, and high water impacts along other parts of Toronto shoreline (estimated 20% to 50% of Toronto Island homes at risk of being damage, and 1 first floor flooding based on 2019 Baird/TRCA report)

2017
Inner Harbour, Toronto
o Flooding of homes on Algonquin and Ward’s Islands
o Shoreline erosion and debris from continuous wave action 
o Closure of Toronto Island Public School and relocation of students
o Mitigation measures included – sandbagging, meter bagging and pumping

2019
Toronto Islands
o Loss of safe Ingress/Egress on major roads due to depth of flooding. Toronto Fire Service on delayed response as they have to pass through roads with 40 cm of water on them. Ambulance needed to be towed as a result of bottoming out near the Lighthouse.
o Shoreline Protection overtopped due to high lake level in conjunction with wave/surge action, affecting residential area along Seneca Ave on Algonquin Island, the Queen City Yacht Club, and the cove area of Ward’s Island.
o Gas service shutoff at meter to 6 Channel Avenue, due to floodwaters in contact with furnace

Pickering/Ajax Waterfront
o Slope Failure at 58 Ontoro Blvd Ajax (within Central Lake Ontario Conservation Authority’s jurisdiction) involving 38m long failure crest 10m from the residence. Slopes and seawalls for 10-12 homes have been damaged to the point of failure.
o Hydrostatic Lake Level seepage impacting homes/basements along Frenchman’s Bay 

","2017
o Restricted ferry service to Toronto Island Park is restricted to residents and authorized personnel only.  

2019
o Closure of Ferry Service to Hanlan’s Point for vehicles and pedestrians (major accessway to Islands)

Western Beaches
o Flooded/submerged boat launches at Humber Bay Park West
o Flooded docks at Sunnyside Beach and Ontario Place Marina docks
o Rowing/Canoe/Paddle and Dragonboat programming activities cancelled or delayed at Sunnyside Paddling Club, The Boulevard Club, Toronto Sailing and Canoe Club as well as the Argonaut Rowing Club

Eastern Beaches
o Flooded/submerged boat launches at Bluffer’s Park

The GLAM Committee had 22 responses along the City of Toronto shoreline for the Marina and Yacht Club survey by LURA Consulting following 2017. The main impacts (e.g flooding of fixed docks, flooding of boat launches, flooding of storage or main buildings, and flooding of electrical supply etc.) were ommonly reported in the May to June 2017 period when water levels would have been in this range.","2017
Inner Harbour, Toronto
o Main Island road flooding and closure
o Impacts to Island Water Treatment Plant – contingency plans implemented in order to maintain operations

2019
Toronto Islands
o Substantial and Prolonged Flooding of Roadways at Lakeshore Ave near Gibraltar Point Lighthouse and Artscape, 500m stretch between the Royal Canadian Yacht Club and Snake Island, and numerous stretches along Cibola Ave. Water was continuous on Cibola Ave from Algonquin bridge to the Royal Canadian Yacht Club. Noticeable deterioration of submerged roads on Lakeshore Ave near Gibraltar point, and Cibola avenue. Condition of submerged roads worsens daily

Western Beaches
o Urban drainage issues (catch basins beyond capacity) at Marie Curtis Park and Lakeshore Blvd (WB & EB lane closures on June 10th)

Eastern Beaches
o Urban drainage issues (catch basins beyond capacity) at Eastern Avenue on May 23rd and June 12th 

Pickering/Ajax Waterfront
o Road and Trail Closures near Paradise Park (Lakefront Trail, Ruthel Rd and Ebony St) due to backwater from Lake, and Frenchman’s Bay Beachpoint Promenade due to flooding and debris washup
o Exposed Pipe from Pickering Nuclear Generating Station washed up on beach","2017
Inner Harbour, Toronto
o Flooding, erosion and debris at Cherry Beach Toronto Islands
o Flooding of non-residential areas including Gibraltar Point, Olympic Island as well as areas south from Hanlan’s Point and the Billy Bishop Toronto Island Airport
o Beach flooding and closures on Hanlan's Point, Gibraltar Point and Centre Island 
o Cancellation of all Toronto Island Park permits

Western Beaches
o Overtopping of breakwaters and erosion of backshore
Eastern Beaches
o Flooding at multiple sites including; Woodbine Beach, Leuty Lifeguard station, boardwalk, Silverbirch boathouse and Balmy Beach Canoe Club 
o Mitigation measures included– shoring and temporary beach curbs for protection of wave uprush as well as pumps for beach inland flooding

Tommy Thompson Park
o Erosion from wave action – trails at risk
Scarborough Bluffs
o Landslides, 6 major and approximately 10 minor in total – cleanup crews worked to remove landslide materials on a priority basis
• Major public safety concern; access was blocked with barricades and signage, but public was still accessing the Bluffs and sometimes resulted in emergency rescue operations
o Overtopping and erosion of revetment along Guild Inn shoreline – repairs required and closure of public access
o Beach erosion and overtopping, displacement of shoreline structures at Bluffer’s Park – repairs required
Pickering/Ajax Shoreline
o Breakwater damage at Frenchman’s Bay in Pickering – public access closure
o Flooding at Paradise Park in Ajax – flood inundation mapping to be provided to the Town of Ajax

Inner Harbour, Toronto
o Toronto Music Garden – flooding of docking wall and electrical chamber
o Peter Street basin – water cresting on south side
o HTO Park – beach and dock/boardwalk area closed to the public due to flooding and continuous wave action
o Harbour Square and Harbour Square Park – boardwalks closed due to flooding;  significant damage due to prolonged submergence of boardwalk structures
o Sugar Beach – promenade and electrical chamber flooded
o Stream gauging equipment and data quality impacted (Don at Dundas) by prolonged high water levels on Lake Ontario due to backwater effects 

Toronto Islands
o Substantial and Prolonged Flooding at southern section and entranceway of Centreville Amusement Park, Toronto Island Marina’s eastern edge, Parks yard operational areas and buildings and fuel pump area, Innumerable in-land flooding areas (approximately 1/3 of the islands), and Grandstand boardwalks.
o Closure of Olympic island, Toronto Islands Grandstand, and Snake Island
o Substantial turf and tree damage across the islands
o Numerous event cancellations
o Flooding and Significant Erosion of beaches at Hanlan’s Point Beach, Ward’s beach, and Manitou Beach

Western Beaches, Toronto
o Power shut-offs in electrical cabinets for Toronto Golf Club at Marie Curtis Park
o Flooding of parkland at Marie Curtis Park, Colonel Sam Smith Park and Humber Bay Park West
o Flooded/submerged/closure of walking paths/trails/boardwalks at Humber Bay Arch Bridge (at Humber River Mouth), Sunnyside Park, Budapest Park and Marilyn Bell Park
o Flooded/submerged trees at Sunnyside Beach
o Erosion to walking paths/trails/boardwalks at Sunnyside Pavillion
o Erosion to beaches, shorelines and parklands at Marie Curtis Park, Humber Bay Park East, Sunnyside Park and Budapest Park
o Damage to new fishing nodes at Humber Bay Park East
o Wave damage to boardwalk/trail at Budapest Park and Marilyn Bell Park
o Stream gauging equipment and data quality impacted (Lower Humber at Old Mill) by prolonged high water levels on Lake Ontario due to backwater effects 
o Flooding impacts to outdoor concert venue at Ontario Place (Live Nation’s Budweiser Stage) with main venue building and stage impacted

Eastern Beaches, Toronto
o Power shut-offs at Rouge Beach Park (for 4 months)
o Increased debris washing up along shorelines at Woodbine Beach (due to increased wave activity and municipal water infrastructure being overwhelmed or bypassed) 
o Flooding/ponding of beaches at Woodbine Beach (10-80m into beach area including lifeguard stations, volleyball courts and fireworks viewing area), Bluffer’s Park Beach (half of beach is underwater) and Rouge Beach
o Flooded/submerged/closure of walking paths/trails/boardwalks at Ashbridge’s Bay Park (Coatsworth Cut) and Rouge Beach (including parking lot)
o Flooded/submerged wave decks/breaks at Woodbine Beach
o Flooded structure at Kew Beach – Silver Birch Boathouse, required constant pumping as sandbags were constantly being breached)
o Erosion of beaches and shoreline causing damage and/or closures to trails/pathways/boardwalks at Ashbridge’s Bay Park, Woodbine Beach, Kew and Balmy Beaches, Bluffer’s Park, Doris McCarthy trail along Scarborough Bluffs, Port Union (East Point Park and Port Union waterfront trail) and Rouge Beach
o Damaged/submerged/lost trees at Ashbridge’s Bay
o Stream gauging equipment and data quality impacted (Rouge at Glenrouge Campground) by prolonged high water levels on Lake Ontario due to backwater effects 

Pickering/Ajax Waterfront
o Flooding, Erosion, and Debris Washup of undermining trees, armourstone rocks, benches on pads, and boardwalk at Millennium Square in Pickering
o Closure and removal of two playgrounds at Millennium Square in Pickering (Flooding from waves and debris washup), and Canoe club in Pickering
o Armourstone Displacement and undercutting of concrete path at Frenchman’s Bay Harbour Entrance.
o Substantial Erosion at Beachpoint promenade, Frenchman’s Bay harbour entrance pier, and the beach, boardwalk, washroom building adjacent to Nuclear Plant in Pickering. Substantial Erosion and loss of trail and waterfront area near Rotary Park in Ajax."
Toronto,ontLevel,Major,75.5,247.64,"75.5 m to 75.7 m = shoreline flood watch by TRCA. Flooding is occurring in low lying areas, particularly parts of Toronto Island. Based on Baird/TRCA 2019 report, no residential first floor flooding occurs on Toronto Island although 2% to 20% of homes on the island are considered at risk of impacts.


","The GLAM Committee had 22 responses along the City of Toronto shoreline for the Marina and Yacht Club survey by LURA Consulting following 2017. The main impacts (e.g flooding of fixed docks, flooding of boat launches, flooding of storage or main buildings, and flooding of electrical supply etc.) were most commonly reported in the May to July 2017 period when water levels would have been in this range, or a little higher.","Lakeshore Blvd, Toronto
o Flooding to lanes on Lakeshore Blvd due to reduced storm drainage during and after rainfall on May 10th - this continued to occur at other times

Toronto Islands
o Flooding of Roadway due to storm surge and waves breaching at Gibraltar Point ","2019
Eastern Beaches, Toronto
o Flooding and inland ponding at Woodbine Beach due to breaching of sandbar - impacting recreational beach, volleyball courts, public viewing areas for Victoria Day fireworks
o Flooding and impacts to Silver Birch Boathouse structure and adjacent boardwalk trail; sandbags and armourstone overtopped 
o Extensive erosion to southern points of Ashbridge’s Bay Park Spit due to undercutting 
Rouge Beach, Toronto 
o Closure to public - parking lot gates and washrooms due to flooding, this persisted for months
Scarborough Bluffs, Toronto
o Landslides and active shoreline erosion near Guild Inn Shoreline causing deployment of crews for repair and implementation of closures to public trail and access road
o TRCA also issued a Notice of Caution for the Scarborough Bluffs due to increased risk of landslides on May 7th, 2019.
o Erosion along waterfront park at Bluffers Park

Port Union, Toronto
o Erosion at lakeside trail at Highland Creek mouth 
Toronto Islands, Toronto
o Flooding/pooling of water in low lying areas 

Pickering/Ajax Waterfront
o Flooding/pooling of water at Paradise Park Beach in Ajax, including ditches up to Ebony Rd.
o Closure of Ajax Waterfront Trail at Rotary Park in Ajax from Rotary Park to west of pedestrian bridge due to erosion"
Toronto,ontLevel,Moderate,75.1,246.328,"Between 75.1 m and 75.5 m AND combined with forecast offshore wave heights of 2.0 m = Lake Ontario shoreline conditions statement issued by TRCA. Impacts are still relatively limited, but risk of flooding and erosion exists during storm events, and can be quite significant during severe storms. The April 2018 event is an example, with considerable wave induced damage to shoreline protection infrastructure.

TRCA/Baird 2019 report indicates 6 residential buildings at risk of flooding on Toronto Island between 75.38 m and 75.68 m IGLD85 (instantaneous hourly level, not lakewide average).


","The GLAM Committee had 22 responses along the City of Toronto shoreline for the Marina and Yacht Club survey by LURA Consulting following 2017. While less common, a few facilities reported impacts such as flooding of fixed docks, flooding of boat launches, flooding or storage buildings, and flooding of electrical facilities etc. in the months of April and August period when 2017 water levels would have been in this range.","insufficient information to categorize Municipal and Industrial impacts within this range, but municipal meeting feedback did not identify specific concerns in this range.","Examples of 2019 impacts:
2019
Cherry Beach, Toronto
o Public precautions in place
Eastern Beaches (Woodbine Beach), Toronto
o Inland flooding/ponding and shortened beaches 
o erosion taking place
Highland Creek mouth near Port Union, Toronto
o erosion
o debris
Rouge Beach, Toronto
o flooding
o closure
Ajax Waterfront Trail, Ajax
o Closure
o erosion
Paradise Park, Ajax
o flooding

Examples of 2020 impacts:
2020
Ashbridge’s Bay Park, Toronto
o continued erosion of park pathway and wave protection infrastructure
Bluffer’s Park, Toronto
o Scouring of boat storage endikement and large tree
Etobicoke Creek mouth vicinity, Toronto
o shoreline scouring continuing to impact Toronto Water infrastructure (outfall) due to wave action and rising water levels
o shoreline scouring impacting public park pathway
Eastern Beaches (Woodbine Beach), Toronto
o Inland ponding and shortened beaches due to wave action and rising water levels
o inland erosion and increased sand deposition along beach
Highland Creek mouth near Port Union, Toronto
o beach erosion and erosion of beach curb and park path east of mouth
Rouge Beach, Toronto
o flooding in the parking lot of Rouge Beach Park, including access to waterfront trail and shortened beach due to rising water levels
o shortened beach due to continued erosion and displacement of sand
Scarborough Bluffs, Toronto
o continuation of erosion due to wave action and rising water levels exacerbating conditions for landslides – significant failure of ~685m3 of material occurring on August 23, 2020"
Toronto,ontLevel,Low Concern,75.1,246.328,"Water levels less than 75.1 = no shoreline statement by TRCA based on current internal guidance. There are still potential issues of erosion in vulnerable areas, specifically during very high onshore waves.

TRCA/Baird 2019 Toronto Island flood report does not identify any residential flood risks below 75.1 m.



",No significant high water impacts are expected in this water level range.,"insufficient information to categorize Municipal and Industrial impacts within this range, but municipal meeting feedback did not identify specific concerns in this range.","TRCA identified the following during the April 2018 wind/ice storm as examples of event based impacts:
2018 – April wind/ice storm

Erosion Impacts:
Bluffer’s Park, Toronto 
o Loss of trails due to shoreline collapse and erosion 
o Impacts to trails due to collapsed and eroded shoreline
Humber Bay Park East, Toronto
o Impacts to trails due to scouring and the collapse/erosion of the shoreline
o Park bench and concrete pad undermined due to shoreline collapse/erosion
o Displacement of beach material all along the beach
Humber Bay Park West, Toronto
o Scouring of beach and footpath to dog park
o Significant displacement and scouring of material including armourstone
o Displacement of beach material all along the beach
Palace Pier along Humber Bay Shores
o Displacement of shoreline protection material
o Destruction of newly instated path
Flooding Impacts:
o No direct reports of flooding along the shoreline to TRCA Flood staff, however one report from twitter stated - Flooding to Silverbirch Boathouse (Eastern Beaches, Toronto) despite new rock wall installed after 2017 high water event 
o Watershed Conditions Statement - Flood Outlook message issued on April 12th and Flood Watch and Lakeshore Hazard Warning message issued on April 14th, 2018
o 80-150mm of rainfall over 4 days received within TRCA’s jurisdiction for this event
o Relatively minor flood plain flooding within the river systems and local ponding in low-lying areas and roads, throughout TRCA’s jurisdiction "
St. Catharines,Context,Context,Context,Context,"St. Catharines is city in Niagara Region along the south shore of Lake Ontario with a population of 406,074 (2016). The ~17 km primarily cohesive bluff shoreline has 436 buildings either along the shoreline or first row behind a public space. About 200 homes are located along the highly protected shoreline (~43% protected). Shoreline erosion and damage to shore protection are the greatest risks in this region as there are few low lying homes prone to flooding and few properties on septic systems in this region.","There are three large marinas in St. Catharines with >100 slips each servicing primarily medium sized boats and a large boating community. There are few private docks in this region, and a number of public and private boat ramps","There are no water treatment plants or wastewater facilities at risk of flooding in St. Catharines, but there is a sanitary pumping station with issues next door in Niagara on-the-Lake (NOTL) which has been reported on here which services ~10,000 people.","There are a high percentage of public lands along the shoreline in St. Catherines, with numerous parks and public spaces where public events are often hosted. The municipaliy is responsible for maintaining mucipal shoreline infrastructure (eg. piers and shore protection), outbuildings, roads, parking lots, beaches, and trails. The city is also the land owner for the Yacht Club."
St. Catharines,ontLevel,Extreme,76.2,249.936,Many shoreline homes at risk of signficant erosion. High risk of shore protection overtopping/failure even with small storms. Irreversible damages occur (~200 homes potentially impacted),"Don't know enough about individual facilities to know if there would be permanent  business closures affecting boating community. 
Would anticipate this range requiring major changes for future for continued operation and possibly some bankruptcies","No actual data at this level, but concerns raised that the sanitary pump station can't be operated or are at a high risk of operational failure. 10,000 people served by plant",Irreversible damages possible. Municipality may need to revise long-term plans for shoreline
St. Catharines,ontLevel,Severe,75.9,248.952,"Overtopping and significant damage to shore protection structures even with normal winds/waves. Increased shoreline erosion and loss of land, stairs, decks, vegetation. Septic and shorewell not useable (note: this  only applies to a few shoreline residents)",Facilities require gas and/or electrical shut off. Reports of main building flooding at at least two locations. 50-100% loss of revenue reported  when levels in this range based on LURA survey,Significant concern of continued operations for one sanitary pumping station in NOTL. Issues with water backing-up into wastewater treatment plant. ,"Signicant and costly repairs required of municipal infrastructure (shore protection, parks, trails, docks, piers)"
St. Catharines,ontLevel,Major,75.5,247.64,"Erosion and shore protection damages especially with storms. Few homes in St. Catharines are at risk of flooding, but a few septic and shorewells are affected. ","Gas pumps submerged, eletrical, damage to floating and fixed docks, flooding of outbuildings, 10-50% loss of revenue for at least two facilities based on LURA survey","Moderate concern of continued operations for one sanitary pump station in NOTL. Flooding of pump station, sewer manholes","Park flooding, muncipal shoreline protection damages, flooding of beach house (closed to public), beaches closed, boat ramps closed, some sandbagging of municipal assets"
